,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors
dataset,aggregation,compound,dense,flame,fuzzyx,jain,line,lsun,mk1,mk2,parabolic,pathbased,r15,ring,ring_noisy,ring_outliers,smile,spiral,target,twodiamonds,wingnut,x1,x2,x3,zigzag,zigzag_noisy,zigzag_outliers,aggregation,compound,dense,flame,fuzzyx,jain,line,lsun,mk1,mk2,parabolic,pathbased,r15,ring,ring_noisy,ring_outliers,smile,spiral,target,twodiamonds,wingnut,x1,x2,x3,zigzag,zigzag_noisy,zigzag_outliers
metric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD-CH,0,2,4,3,0,3,5,2,1,1,2,0,2,6,3,1,2,3,3,2,3,2,0,0,3,0,3,125,148,9,30,159,23,1,22,70,39,35,156,75,0,16,88,67,69,26,7,44,29,120,172,57,214,40
AD-DB,1,1,3,1,0,1,5,4,1,1,1,0,1,5,1,4,0,3,4,1,3,2,1,2,4,1,2,108,119,46,116,199,69,4,15,62,47,125,118,138,36,124,55,105,76,24,43,23,35,113,82,66,79,66
AD-S,1,2,1,2,0,1,5,5,5,2,0,1,2,5,1,4,0,4,3,2,5,6,0,0,4,0,3,98,101,43,102,212,20,23,1,6,10,179,93,86,5,129,40,97,60,109,13,18,0,191,138,35,56,43
AD-idea,2,2,0,0,0,0,3,0,1,0,0,0,1,4,1,2,0,2,2,0,1,2,1,0,4,1,2,53,30,111,185,141,139,56,119,85,98,171,119,71,59,68,91,156,104,122,168,84,68,78,97,36,86,99
B,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,1,1,1,1,0,0,1,1,0,1,1,1,135,161,176,241,190,151,103,174,148,180,178,129,118,110,203,196,153,172,196,165,173,48,81,115,144,130,209
BH,1,1,0,0,0,0,2,0,0,0,0,0,1,2,1,1,0,1,1,0,0,0,1,0,1,2,1,111,160,178,222,151,172,107,191,151,180,193,106,97,108,109,224,208,150,215,150,169,154,76,119,163,116,173
C,4,2,1,1,1,0,2,1,4,0,0,1,1,2,1,1,4,1,1,2,1,6,0,0,1,0,1,35,128,123,152,186,130,106,126,16,140,118,118,105,99,109,199,40,126,201,56,111,0,175,133,178,142,225
CDbw,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,2,0,1,1,1,0,1,2,1,2,0,2,133,132,131,200,132,177,56,152,157,178,159,118,171,57,63,132,180,125,167,56,188,99,54,84,61,86,106
