,correct,correct,correct,correct,correct,correct,errors,errors,errors,errors,errors,errors
algorithm,AgglomerativeClustering,DBSCAN,HDBSCAN,KMeans,MeanShift,SpectralClustering,AgglomerativeClustering,DBSCAN,HDBSCAN,KMeans,MeanShift,SpectralClustering
metric,,,,,,,,,,,,
AD-CH,0,1,2,3,0,0,146,34,138,126,127,142
AD-DB,0,1,4,2,1,0,392,71,132,180,108,245
AD-S,0,2,4,3,0,0,334,36,74,198,106,243
AD-idea,0,1,3,2,2,0,175,47,162,306,40,259
B,0,1,1,3,1,0,271,80,199,216,44,242
BH,3,1,2,2,1,0,61,71,174,324,35,192
C,1,1,5,2,0,0,184,33,62,324,60,164
CH,1,1,5,3,0,1,93,28,58,126,113,94
COP,0,0,3,3,0,0,156,71,125,144,129,154
CS,0,1,3,4,0,0,369,50,166,162,72,219
D,0,0,3,0,1,0,379,101,165,180,118,260
DB,0,1,3,4,1,0,350,69,167,162,81,186
DBCV,0,2,4,1,0,0,307,31,132,246,78,164
DH,0,1,3,2,1,0,345,60,167,246,53,261
GD43,0,0,0,3,1,0,289,116,343,198,71,231
GD53,0,0,0,3,0,0,260,116,343,162,48,179
H,0,0,0,2,0,0,384,116,343,144,127,203
I,0,0,2,2,0,0,248,63,180,216,139,177
PS,0,0,0,4,0,0,156,116,343,156,130,107
RS,0,0,0,2,0,0,316,116,343,180,132,168
S,0,0,5,4,1,0,223,35,61,162,113,173
SD,0,1,2,3,1,0,262,53,182,288,40,203
SDbw,0,1,2,3,0,0,471,69,162,306,188,287
SF,0,1,2,2,0,0,357,67,178,144,131,164
SSE,3,1,1,2,1,0,58,53,140,324,33,153
Sym,0,0,5,3,0,0,186,45,76,198,123,155
VIASCKDE,3,1,3,3,0,0,274,35,150,180,188,188
WB,2,0,0,3,1,1,80,116,343,126,83,87
XB,0,0,0,2,1,0,234,116,343,234,81,185
XB*,0,0,3,3,1,0,298,47,148,198,103,220
cSIL,0,0,0,4,1,1,364,116,343,198,76,213
rCIP,0,0,0,3,0,0,412,116,343,126,139,212
