,correct,correct,correct,correct,correct,correct,correct,correct,errors,errors,errors,errors,errors,errors,errors,errors
dataset,ecoli,glass,ionosphere,sonar,statlog,wdbc,wine,yeast,ecoli,glass,ionosphere,sonar,statlog,wdbc,wine,yeast
metric,,,,,,,,,,,,,,,,
cSIL,0,0,1,0,0,2,2,1,155,242,107,126,262,92,101,184
GD43,0,1,0,0,0,2,0,1,176,159,134,127,228,90,125,168
AD-CH,1,1,1,1,0,1,0,1,109,104,84,89,144,35,104,44
AD-DB,0,0,1,1,0,4,0,2,141,257,105,92,198,55,127,153
AD-S,0,1,2,2,0,2,1,1,120,174,96,73,164,87,115,162
AD-idea,0,0,1,2,0,2,1,2,132,237,70,62,123,63,71,93
B,0,0,2,2,0,0,0,2,117,207,90,70,184,125,115,144
BH,0,0,3,3,1,1,0,1,147,188,44,4,118,72,126,158
C,0,2,2,2,0,1,1,1,103,132,49,72,160,104,44,163
CH,2,1,1,1,0,1,2,3,78,108,62,69,89,41,35,30
COP,1,0,1,1,0,2,0,1,71,243,65,58,89,57,106,90
CS,0,0,1,1,0,3,1,2,147,222,102,93,186,68,87,133
D,0,0,0,1,0,2,0,1,157,190,148,100,211,90,150,157
DB,0,0,1,1,1,3,1,2,133,241,119,91,155,69,94,113
DBCV,0,1,1,1,0,2,1,1,122,154,81,93,142,113,89,164
DH,0,0,1,2,0,2,0,2,171,231,91,64,190,88,122,175
GD43,0,1,0,0,0,2,0,1,180,171,143,127,231,90,125,181
GD53,0,1,0,0,0,1,0,1,165,137,137,92,229,64,149,135
H,0,0,0,0,0,1,0,1,171,197,157,136,245,93,145,173
I,0,0,0,1,0,2,0,1,132,221,134,130,163,77,95,71
PS,0,1,0,0,0,1,1,1,228,163,111,46,205,68,78,109
RS,0,0,0,0,0,1,0,1,174,212,152,135,191,69,143,179
S,0,1,2,1,0,1,3,2,80,147,61,125,146,90,11,107
SD,0,0,1,2,0,2,1,1,156,198,86,64,139,79,86,220
SDbw,0,0,1,0,0,3,1,1,227,276,126,161,232,82,134,245
SF,0,0,1,1,0,2,0,1,127,177,115,128,205,51,121,117
SSE,0,0,2,3,1,1,0,1,138,165,47,4,82,82,119,124
Sym,0,0,1,1,0,2,2,2,123,175,97,130,106,74,26,52
VIASCKDE,1,0,2,2,1,2,1,1,173,242,78,86,86,95,95,160
WB,0,0,0,1,0,1,3,2,156,201,95,37,149,43,61,93
XB,0,0,0,0,0,2,0,1,173,234,136,105,206,85,112,142
XB*,0,1,0,1,0,3,0,2,142,140,113,121,191,67,122,118
cSIL,0,0,1,0,0,2,2,1,159,254,116,126,265,92,101,197
rCIP,0,1,0,0,0,1,0,1,173,188,157,137,255,98,143,197
