,fuzzyx,line,dense,parabolic,ring,ring_noisy,ring_outliers,zigzag,zigzag_noisy,zigzag_outliers,mk1,mk2,smile,x1,x2,x3,aggregation,compound,jain,pathbased,spiral,r15,flame,lsun,target,twodiamonds,wingnut
cSIL,0.3848489501293712,-0.7997589783726289,0.25676975882397857,0.4207273732825269,-0.8097388665678893,-0.37904283921121834,0.06808194904906124,-0.04907864198805549,0.4078230157323895,-0.1660902212978972,0.6816365228396615,-0.47479470422315034,0.12275705451412407,0.4961061810127382,-0.3046010096058954,0.1514485040844521,0.46298897727739285,-0.2499539647187459,0.008821619907392718,0.3011547766937379,-0.2872496980865593,-0.0780687067512367,0.3289506313365328,0.5040041706558247,0.6171055540479163,-0.06977049327383451,-0.07941690905766581
GD43,0.7369080079107815,-0.680965030761631,0.08928355712496444,0.2948777649905534,-0.7297529465719719,0.06901669257903739,-0.06771573492223137,-0.07548303202023153,0.6395688895882862,-0.14555447722570272,0.9516836375181457,-0.5825274938023354,0.486359883683664,0.7917744787789718,-0.1925441695310302,0.5233924785096321,0.5471911778124792,-0.10578930086658625,0.04789189702021025,0.21555436556077184,-0.11469840370406353,0.6486634608148846,0.28302923269790325,0.4794926193905362,0.31687015586834016,-0.026345987581545233,-0.06765259456750211
GD53,0.7793208406277626,-0.06165022377630006,0.14469307667950734,0.6290514765907907,-0.4188102070491102,-0.24808461521046077,-0.7306783600764261,-0.7689466503193532,-0.3842895049492571,-0.6902753181137711,0.47572773522884704,-0.279386676230069,-0.20908535984823795,-0.21485160359085315,-0.3797977120468929,-0.4664669762738734,-0.09735075920931537,-0.19465242019809853,0.44338654157966273,-0.5355799568860895,-0.25127326644954806,0.5876085132617317,-0.04931410168541084,-0.4226294932880578,-0.7688808673047478,0.4806727972962352,0.4128325879343676
PS,0.3273091842783511,-0.35103923400723425,0.6272237540898723,0.577547803580355,0.5502899922670265,0.03167597126518035,-0.8008509473534158,-0.5272230027339367,-0.21929103475980052,-0.6216921550776485,0.5533041279133694,-0.3292889061693786,-0.10085546201027594,0.029113711470142644,-0.02065890958032221,0.2464367317537714,-0.36155001472299764,-0.5344217026123084,0.19414587157651986,-0.12074218656612613,0.01972262087563336,0.6640558279569893,0.41249710385721033,0.05747194665304172,-0.7897964844170384,0.11191018889674868,-0.3542527427354648
rCIP,-0.3472733751201003,0.5231038646618579,0.42470613008308067,0.8541647041724849,-0.4325405589402044,-0.21522418693073164,-0.5371305512604702,-0.7297822066317822,-0.5068941603367554,-0.741202667357409,-0.06566342045744389,-0.24221759559662467,-0.10222286462293947,0.5228841990265953,-0.3790602593502434,-0.5413050944398239,-0.10877784075478979,-0.418282607038013,0.6543546305561008,-0.34675679639385637,-0.7830505554851275,-0.3259702543821269,0.07527478333893901,-0.3554874447225213,0.16884780063013313,0.7778196966124343,0.3461200059807607
WB,0.6972382697739923,-0.5856013313402465,0.2138468681511738,-0.22516441170238274,-0.6511252133549794,0.6359658464451127,-0.025740166979936835,-0.018442169889488613,0.8361950361697902,0.21324346490715074,0.8890671571299917,-0.5014271536240849,0.604059677144134,0.8602156856748706,0.6053561697243769,0.8923568351860585,0.5902994543353365,0.06857007274824488,-0.35541074695277,0.46897177832406484,-0.04551756394366457,0.8327154016200606,0.1369331560228573,0.5697076054607036,-0.058393268262472306,-0.27185656432152056,-0.3372380193247695
XB,0.5613782280531354,-0.9090088527030986,0.7793641775662308,0.5868105208263281,-0.6713957281881168,0.03908337988166961,-0.1348006056240374,-0.22262711501269714,0.32040192784807664,-0.22822090258078329,0.5628025712869097,-0.4768517309711301,-0.006267786304833633,0.5035643127514975,-0.159019912388611,0.37807894348413107,0.3516340369241084,-0.07336057175932033,0.41385433283683537,0.10314253308790922,-0.3637220332386605,-0.00812171050097479,0.6148061549431645,0.3143537937657412,0.21806836091404347,0.1766903922749257,-0.025080216065913354
SSE,0.7903060795963094,-0.5734229456005597,-0.43366355508665055,-0.47952117210796996,-0.5766998432052848,-0.2995618319509505,-0.167277313063327,-0.32784219422719874,0.16131425834701513,-0.01500509107990458,0.2960606908910453,-0.2606912285581096,0.2175091291558128,0.16956840984397778,0.3840688450032838,0.7988028385446124,0.5547006887894141,0.11646613149116374,-0.520914245941318,0.04784894615454724,-0.16352986830916075,0.6738322178647083,-0.1290789916220795,-0.05748482161462079,-0.14797169111883024,-0.11400019395811727,-0.3970937126776077
RS,0.4163195981497391,-0.6055061930970886,0.6187423236612583,0.21620376773381478,-0.8122559566204743,-0.4482797121780646,0.04927266701226737,0.005832345969116531,0.662971213605717,0.3491445067406767,0.8773365397612378,-0.4223154594971387,0.7632671990964593,0.8581784790704436,0.04324534772633975,0.8413327340197198,0.7034028263598382,-0.13117703025170652,-0.31862048556691486,0.12482397836015409,-0.254006866733133,0.7945174923386253,0.12280425030824937,0.48103335268661807,0.5729986720793394,-0.2853173737591396,-0.0956830911866647
DH,0.13388535677589106,-0.5330656307275794,-0.4039035303799024,-0.7831878661017183,-0.6227185453784689,-0.6034877043646902,0.591740984540753,0.17591078869154192,0.32014839876224876,0.1932993619666841,0.217264813652003,-0.4100463154606615,0.6070295556555452,0.5425906208284533,0.0467365890687543,0.5227252502850152,0.6157838530727541,0.2423508777500678,-0.17341998847997794,0.07423768394370592,-0.3323172162273004,0.5310257662411348,-0.41390599065324213,0.2479658300842653,0.33001265670410956,-0.6448874775763095,-0.35104463550938275
