,fuzzyx,line,dense,parabolic,ring,ring_noisy,ring_outliers,zigzag,zigzag_noisy,zigzag_outliers,mk1,mk2,smile,x1,x2,x3,aggregation,compound,jain,pathbased,spiral,r15,flame,lsun,target,twodiamonds,wingnut
cSIL,0.4977489338065277,-0.7833145442529499,0.5703054179417372,0.15922460484261453,-0.7574059209389334,-0.7005567272970995,-0.06801180030439467,0.006758736754723378,0.3284687494752483,-0.21036420197119857,0.7029456475815338,-0.4021005890495567,0.2793523424222214,0.6006339070254005,-0.15872338970184402,0.2583954139081581,0.5292150466703769,-0.21640397658728353,0.13780885713063976,0.47424873244662,-0.33609416402883047,0.001293356948371908,-0.04144005787084304,0.2100334738030586,-0.2041747404621726,0.030348633727027754,0.2750969858167881
GD43,0.7572287036896573,-0.6586841742153723,0.4451577329499908,0.0005637162825438176,-0.6825149111874298,-0.5330664043083904,-0.23814523602288362,-0.03549392953017496,0.48455489028874954,-0.20278700309906925,0.8967220782540035,-0.5173704038228129,0.25827149462628024,0.7791007750526789,-0.06490139476164479,0.5707178631305228,0.49208789847359347,-0.01615353701621268,-0.007986910689908843,0.4072905112154403,-0.22760627313820392,0.6875228978226057,-0.12819037821176535,0.2607529297848829,-0.3175939729612987,0.04596773152675419,0.25535367851772095
GD53,0.2443131790228982,-0.05242792508379758,0.24549059093606648,0.44202253203516284,-0.3956140820042455,-0.1066989388860721,-0.5573202121451425,-0.7141431046818111,-0.4418136450395763,-0.5309815269324244,0.5447969014397013,-0.49150153829427934,-0.3933385269398868,-0.14452682352298993,-0.36936933408486294,-0.5099906224456642,-0.17335821603814752,-0.2788773009753361,0.20578380859732667,-0.36208329854257426,-0.06626011765005077,0.6232461076537865,-0.052308875820695634,-0.5007028981616986,0.052196744881739934,0.5792813769745144,0.34576786993412856
PS,0.2773520043009432,-0.32502516512841817,0.7132619495984116,0.3930676753873645,0.5176046812139377,0.5422180611198091,-0.48747216187475656,-0.44560415489001814,-0.28427876641534566,-0.4269432729024074,0.6229341935672957,-0.5351369427854407,-0.28374665849895137,0.18178014528033143,-0.008543072539282093,0.1541799172524834,-0.41106940158528427,-0.5044105835777553,-0.042988451702226704,-0.09508380967104596,0.07434242214206802,0.6955174021616933,0.006226175063173688,0.10126061432787882,0.10085219752840774,0.21710288530178995,-0.2774935173968616
rCIP,-0.4703042887700021,0.510041574414674,0.5992717407482344,0.5755005867359951,-0.40523824742835646,-0.4533542477349506,-0.566495739654879,-0.3855271141949529,-0.34778134896699825,-0.6136664982235928,-0.10357952688550827,-0.4820476852337278,0.1131458770177846,0.6009230871683299,-0.2645419323864856,-0.47146644222741435,-0.11653946373926853,-0.4176233209874366,0.553901146069719,-0.10708741395243139,-0.49354957925080295,-0.21157355023781854,0.34070403977904146,0.07410111697676798,-0.0519595147836866,0.8014168589957128,0.4937758817017853
WB,0.7419132328244966,-0.5865459701888112,0.43692547584652147,-0.37325881695919266,-0.6081162495559426,-0.2970914437354998,-0.1536419218262293,0.010750739483546327,0.6486628324851893,0.03508694277720874,0.863034077498606,-0.34344933285230067,0.34148609418033254,0.8443040718648794,0.5965995552905566,0.8967751370206036,0.5216682217528574,0.22269748762798694,-0.3342461093679965,0.5947075655082084,-0.2585589940942922,0.8399399054661337,-0.14211738349112307,0.2929678374855339,-0.5097942977805461,-0.17533102740544101,-0.021270625497549166
XB,0.6696893018970894,-0.8929387780362195,0.8001517406665434,0.3266023727563303,-0.6414776103127303,-0.5613833820455791,-0.3358903187727485,-0.12826365818668037,0.2584657672477403,-0.26872124513647444,0.6343836095416862,-0.6127727488284505,-0.11116382690218823,0.6500768890099032,-0.1388646650169744,0.3827231740279094,0.3187117217451919,-0.1602167634213635,0.15168503622607712,0.23579323681840683,-0.3704678081036646,0.15472661574550847,0.2200581739482759,0.20037750753428857,-0.4093834835829428,0.41707557702193215,0.2606984219456283
SSE,0.6827369894063744,-0.5740094822227021,0.21936906841045184,-0.36275441860341084,-0.5809178688412675,-0.0029454772593233607,-0.11765577548802526,0.05818533586719296,0.7006484934072281,0.3999176447415709,0.6151240681350245,-0.0057642359373934965,0.6678670201441026,0.33911509993005845,0.5191643370649867,0.8586590004667047,0.6180047843551482,0.49444025055957386,-0.17101717678732098,0.7437659676407475,0.022239325637925286,0.8525803150489505,0.08477807086977719,0.27713648514201267,-0.40337112606516784,-0.36939833279420065,0.10720772946547197
RS,0.47708870843312695,-0.6048780220881473,0.6854755949754404,0.05425066581686867,-0.75805596863329,-0.6272091081476014,-0.03928146015131967,0.038638073088915564,0.4942466952172415,0.14355282807886388,0.8291584815175367,-0.32724449892862756,0.7667642347593588,0.827428883136393,0.11721104376067805,0.7866781686624886,0.6815242920866527,0.11247533350908183,-0.20740468667569723,0.36517866999514176,-0.3371017173179542,0.8084801814296361,0.1395279602987505,0.18349692348630878,-0.07511085773760307,-0.16809065045068097,0.23149966608444872
DH,0.18614233443089284,-0.5138194600190874,0.16074526111803875,-0.482973743094019,-0.5939022353161586,-0.5455765944225549,0.4751038307144382,0.3983908374784719,0.5698589719746946,0.40397865932169663,0.49022341750500903,0.026604394053347035,0.7150734644631933,0.6309075306934605,0.039469743193132165,0.5033127614591385,0.6734738051940466,0.5672068031548663,-0.10297074060313222,0.5341007656594562,-0.1962943976720685,0.6892289901463184,-0.3189986821188658,0.26889604034771936,-0.10269384230651034,-0.72354148888193,-0.08238206417259565
B,0.572566602116175,-0.6105314391631518,0.11306931545360478,-0.38061415551286465,-0.6077620110866586,-0.5476466230312325,0.11983227690133647,0.04310128225907153,0.6461039913459039,0.12733060646130503,0.6812500535113487,-0.024822776408356763,0.5164456519358097,0.5602088961345452,0.28294193350367786,0.8244063099903438,0.6205728041509793,0.5199390791636512,-0.20828850269752244,0.7419530985123001,-0.23102827450116567,0.8699251707446689,-0.276953197674549,0.22739223531494585,-0.1047915419326288,-0.46143178218736636,-0.06864968952134361
BH,0.6363647716072953,-0.5552243521285564,0.03506154913475173,-0.3509232508179344,-0.5697298080453443,-0.23536753372412733,-0.06656182369596864,0.2097292807717237,0.7647551639512712,0.4857700973392684,0.4465657668433209,0.122812884626954,0.6268624073795668,0.297665919704766,0.5474891386695638,0.8477015832849787,0.588681144604566,0.4906808282963902,-0.2115365934659255,0.7334042513363829,0.14970104944725426,0.8583996113817612,-0.06504229009225394,0.298842523501251,-0.41147393103865804,-0.4665943731968612,-0.02497578631238523
D,0.41597495874140916,-0.8050385716820212,0.2620044070356967,0.43895245681009065,0.07556138162782301,0.3409492062466575,-0.23129384721391738,-0.2452578382255295,-0.008289201916666083,-0.21622698606711885,0.5105807992201141,-0.2790491067874149,0.36903808914941866,0.41001097966083605,-0.7338318387409871,-0.12344852905536731,0.2683403926238157,-0.059078674994493714,0.6352552791952183,-0.23291909552404033,-0.3213372378260967,-0.31534620608379743,0.31686100640249976,0.23399510668889825,0.3827834278411277,-0.18208320629304547,-0.002923990562045556
H,-0.32131198007298734,-0.7436901362366871,0.6778676335884317,0.4594242432043627,-0.8134811180220489,-0.7606289848360107,-0.49547134903701967,-0.27299060083639043,-0.4669918626064368,-0.45701062369145173,0.5284093874823228,-0.5597119718533938,-0.0013484482309167765,0.44308315053720004,-0.2185960832789831,-0.42695107399500903,-0.21508860711336908,-0.4259477867876305,0.5132683510521939,-0.09171831507919637,-0.5326803926709152,-0.19207712055849274,0.5641575433610241,0.027798551375394113,-0.1929988002678405,0.7106952994699663,0.48327176167005975
DBCV,-0.29173929565025314,0.9263368319317181,0.4814167397673116,0.22737242262568538,0.9508837749330901,0.4553757514170894,0.8414093056463263,0.8745463489160495,0.5004863023559228,0.7814563740936242,0.07986593196180229,0.6465178384645883,0.5821083243902442,0.7742258266435476,-0.347079231490179,-0.26292833107456953,0.0809978580106481,-0.0560339420982042,0.2686093217940779,0.17547597363214285,0.7990627333002859,0.03598907365083864,0.4604463551747447,0.4812781682945921,0.7989761162141887,0.5624017856804762,0.4816073764537652
I,0.5982040676177534,-0.6425098483871294,0.7886408293533327,0.2701640200471654,-0.6933852607604781,-0.6366248474700056,-0.418275279212328,-0.042097608609311284,0.5581619954883122,0.15966381244749955,0.7913090306004698,-0.5053338931828407,0.03969033193037993,0.8690181208911807,0.4747817281213042,0.7261875805039838,0.3973007644054318,-0.20023963174456708,-0.19460973663913947,0.12961065573802366,-0.6469403307826086,0.8294326226547445,0.121712707508272,0.2417508930268367,-0.16121514237614015,0.737625381488388,0.12097662902057446
