,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.815,0.521,0.773,0.712,0.761,-0.083,0.061s
GD43 (↑),4.104,0.922,1.858,1.481,1.792,0.006,0.005s
GD53 (↑),0.136,0.490*,0.461*,0.464*,0.477*,0.426*,0.006s
PS (↑),3.288,1.821,1.821,1.898,1.649,0.703,0.004s
rCIP (↓),10.982,0.119*,0.083*,0.044*,0.039*,45.249,0.006s
WB (↓),0.994,7.381,2.342,3.237,2.633,5396.065,0.004s
XB (↓),0.277,0.917,0.291,0.404,0.318,14673.696,0.005s
SSE (↓),121.960,1544.120,1058.492,1213.047,1115.348,1957.108,0.001s
RS (↑),0.067,-0.576,-0.085,-0.233,-0.124,-13.951,0.001s
DH (↓),0.222,0.744,0.574,0.621,0.580,0.997,0.270s
B (↓),0.063,1.824,0.579,0.808,0.614,344.146,0.001s
BH (↓),8.131,772.060,529.246,606.523,557.674,130.474,0.000s
D (↑),0.003,0.138*,0.195*,0.188*,0.210*,0.002,0.022s
H (↓),2.681,0.957*,0.452*,0.574*,0.478*,14.993,0.002s
DBCV (↑),-0.950,-0.984,-0.989,-0.981,-0.987,-1.000,25.959s
I (↑),0.320,0.117,0.337*,0.250,0.312,0.000,0.002s
C (↓),0.037,0.322,0.169,0.219,0.183,0.448,1.355s
CDbw (↑),0.059,0.004,0.007,0.012,0.009,0.014,1.453s
VIASCKDE (↑),0.401,0.677*,0.691*,0.694*,0.700*,-0.413,0.771s
COP (↓),0.163,0.359,0.316,0.319,0.336,0.468,0.048s
Sym (↑),0.007,0.002,0.003,0.006,0.008*,0.000,0.010s
CS (↓),1.606,2.831,1.646,1.818,1.590*,138.128,0.033s
SF (↑),0.148,0.324*,0.373*,0.357*,0.368*,0.000,0.004s
SD (↓),76404892.333,948685050.182,656676149.397,864234976.034,763756570.452,1197403577.354,1.164s
SDbw (↓),0.325,2.055,1.563,1.989,1.643,2.885,0.010s
XB* (↓),0.411,0.935,0.315*,0.436,0.333*,15695.522,0.004s
S (↑),0.385,0.250,0.398*,0.353,0.392*,-0.046,0.459s
DB (↓),0.776,1.691,0.999,1.153,1.030,125.962,0.002s
CH (↑),5373.737,1354.368,4268.787,3088.098,3796.403,0.990,0.001s
ED-S (↑),0.263,0.171,0.069,0.001,0.061,-0.132,165.387s
ED-DB (↓),1.572,1.612,2.161,1.564*,2.249,8.376,16.710s
ED-CH (↑),680.270,4057.698*,4355.489*,5488.627*,4618.476*,184.147,16.824s
AD-S (↑),0.248,0.100,0.030,-0.004,0.070,-0.079,1.028s
AD-DB (↓),1.836,1.899,2.033,1.507*,1.928,4.460,1.161s
AD-CH (↑),498.933,4221.831*,4765.165*,4907.275*,4660.199*,257.961,1.826s
AD-idea (↑),1.272,0.469,0.534,1.085,0.549,0.012,1.706s
