,ecoli,glass,ionosphere,sonar,wdbc,wine
cSIL,0.6,0.49999999999999994,1.0,1.0,1.0,0.39999999999999997
GD43,0.09999999999999999,-0.8999999999999998,-0.5,1.0,1.0,-0.39999999999999997
GD53,0.09999999999999999,-0.7999999999999999,-1.0,1.0,1.0,-0.39999999999999997
PS,-0.09999999999999999,-0.7999999999999999,-1.0,-0.5,1.0,0.7999999999999999
rCIP,0.19999999999999998,0.7999999999999999,1.0,-1.0,-1.0,0.19999999999999998
WB,0.19999999999999998,-0.49999999999999994,1.0,0.5,-1.0,-1.0
XB,-0.49999999999999994,-0.7999999999999999,0.5,0.5,-1.0,0.19999999999999998
SSE,-0.19999999999999998,-0.7999999999999999,-1.0,1.0,1.0,-0.19999999999999998
RS,-0.19999999999999998,-0.49999999999999994,-1.0,1.0,1.0,-0.19999999999999998
DH,-0.19999999999999998,-0.49999999999999994,-1.0,1.0,-0.5,-0.39999999999999997
B,0.3,-0.8999999999999998,-1.0,1.0,1.0,-0.39999999999999997
BH,-0.19999999999999998,-0.7999999999999999,-1.0,1.0,1.0,-0.19999999999999998
D,0.3,0.0,-0.5,0.5,0.5,-0.19999999999999998
H,0.09999999999999999,0.6,1.0,-1.0,-1.0,0.19999999999999998
DBCV,-0.09999999999999999,0.8999999999999998,0.5,-0.5,-0.5,1.0
I,-0.39999999999999997,0.19999999999999998,-1.0,1.0,1.0,-0.19999999999999998
C,-0.09999999999999999,-0.7999999999999999,-1.0,1.0,0.5,-0.7999999999999999
VIASCKDE,0.0,0.19999999999999998,1.0,1.0,-1.0,-0.19999999999999998
COP,0.19999999999999998,0.0,-0.5,-1.0,-1.0,0.39999999999999997
Sym,-0.19999999999999998,0.49999999999999994,-0.5,0.5,1.0,0.39999999999999997
CS,-0.3,-0.8999999999999998,-0.5,0.5,-1.0,-0.39999999999999997
SF,-0.09999999999999999,-0.6,-1.0,1.0,1.0,-0.19999999999999998
SD,-0.19999999999999998,-0.09999999999999999,-1.0,1.0,1.0,-0.7999999999999999
SDbw,-0.19999999999999998,-0.39999999999999997,-1.0,,-1.0,-0.9999999999999999
XB*,-0.09999999999999999,0.7999999999999999,0.5,-1.0,-1.0,0.19999999999999998
S,-0.09999999999999999,0.7999999999999999,1.0,0.5,1.0,0.39999999999999997
DB,-0.3,-0.7999999999999999,0.5,0.5,-1.0,-0.39999999999999997
CH,-0.19999999999999998,-0.7999999999999999,-1.0,1.0,1.0,-0.19999999999999998
AD-S,-0.8999999999999998,0.7999999999999999,1.0,-1.0,1.0,-0.39999999999999997
AD-DB,0.3,-0.6,-0.5,0.5,-1.0,0.39999999999999997
AD-CH,-0.19999999999999998,-0.7999999999999999,-1.0,1.0,1.0,-0.19999999999999998
AD-idea,0.19999999999999998,0.7999999999999999,1.0,-1.0,-1.0,0.19999999999999998
