Metric,Correlation,P-value
cSIL,0.10836928278523938,0.7006552773475455
GD43,-0.14340787432412652,0.6101352676925386
GD53,0.14311175961434475,0.6108808498140049
PS,0.19336635585807319,0.48988273160676604
rCIP,-0.2028707670376109,0.4683630299167693
WB,-0.40189298354041353,0.13755764186710934
XB,0.24019681126611236,0.3885226140173564
SSE,0.22005321243383197,0.4306626427912554
RS,-0.07756550609478158,0.7834994742003383
DH,-0.0066601998652187295,0.9812059644453945
B,-0.4021025711112122,0.13733330052709825
BH,0.1744670120138497,0.5340164426323305
D,-0.18656489635651613,0.505563673276082
H,-0.15731797426338792,0.5755219703725082
DBCV,0.23222512332839862,0.40492757392669765
I,0.27724127640296015,0.3171220346368959
C,0.17206425251996052,0.5397506107718636
VIASCKDE,-0.2746741680247696,0.32180815129227996
COP,-0.02758801246787089,0.9222531644004474
Sym,-0.1114049273839206,0.6926422096329607
CS,-0.39500140245367665,0.14507307266395203
SF,-0.07680838808956354,0.7855670337462836
SD,-0.37484955013135635,0.16861730307416872
SDbw,0.16857518609343233,0.5481251247744132
XB*,0.240977636836688,0.3869351617009684
S,-0.031494804806591635,0.9112808065259718
DB,0.050337677971624126,0.8586011091845955
CH,0.31132822128797477,0.2586773032639195
AD-S,0.44937182977194146,0.09286906925931834
AD-DB,-0.4300621996495153,0.10958819784578101
AD-CH,0.06430084572267053,0.819906225155835
AD-idea,0.321592749144609,0.24246479873691462
