Metric,Correlation,P-value
cSIL,0.06343314402022147,0.822300507241366
GD43,0.3188469729858483,0.24673859988630772
GD53,0.0025863475850077065,0.9927012302401207
PS,0.025579324611287063,0.9278998179370703
rCIP,-0.17139981265215043,0.5413410575604165
WB,0.30061018021197927,0.276292843726241
XB,0.299428854643394,0.27827726826358407
SSE,-0.07569476122924411,0.7886105727535485
RS,0.05838829689931806,0.83624917272508
DH,-0.008728511728289236,0.9753709511008073
B,0.3006565313260476,0.2762151551447307
BH,-0.025529052510460937,0.9280411806319924
D,0.30142470913483393,0.2749295274867735
H,-0.12611968838705273,0.6542402732099389
DBCV,0.7086194154930403,0.003104506575283591
I,0.3056221492283094,0.26796820564864293
C,0.12579599236462272,0.6550768489262004
VIASCKDE,-0.13540588567216566,0.630406364206338
COP,0.007282720938639873,0.9794496349796412
Sym,0.4121285255184116,0.12688942347228424
CS,0.23548188218536983,0.3981820228521571
SF,-0.015545850321095336,0.9561479218118091
SD,-0.2965439998233668,0.28315904562024086
SDbw,-0.12343381816273888,0.6611932430027035
XB*,0.29979189060968714,0.277666525176728
S,0.049139578653552514,0.8619364793402785
DB,0.2476459464324427,0.3735206440243236
CH,0.03749476798107055,0.8944592685801976
AD-S,0.434794458161284,0.10531102014859806
AD-DB,-0.43724635178612276,0.10314130170285196
AD-CH,0.16106083249521516,0.5663500881468755
AD-idea,0.28603013456611887,0.3013786483085238
