Metric,Correlation,P-value
cSIL,-0.3713567445617796,0.17293935203063532
GD43,-0.12134576178333374,0.6666164866974209
GD53,-0.21468360658980107,0.4422742913051381
PS,-0.08685380460181201,0.7582478148413482
rCIP,0.36678210060609673,0.17870922398287065
WB,0.23616117249610422,0.3967825917293777
XB,0.3449479279392852,0.20797104512172013
SSE,0.39729571091603044,0.14254109238897847
RS,-0.09626707610641719,0.7328858267608411
DH,0.062036069122844005,0.8261585598026174
B,0.23615080943009895,0.39680392144743964
BH,0.31510336713106696,0.25263973647744986
D,0.059124991248388846,0.8342093391731601
H,0.24783533145157302,0.37314340267930335
DBCV,0.7393739551625028,0.0016322986596842511
I,0.19213290276789152,0.49270928387210744
C,0.5439406633836217,0.0360756638002767
VIASCKDE,0.037364396077441256,0.8990883692172014
COP,0.318571468806756,0.24716996482019207
Sym,0.25779907032504584,0.3535904454309015
CS,0.2373297241169189,0.3943813308393605
SF,0.10575811700627732,0.7075714098632958
SD,-0.40392852341984525,0.1353892909709007
SDbw,0.2949082445250345,0.2859495822378322
XB*,0.3454212844437787,0.2073062149953178
S,-0.4605325074984032,0.08407157144426328
DB,0.31265909427569233,0.25653890952572544
CH,-0.1401634832947039,0.618323524725658
AD-S,0.64474529213087,0.009459342902663571
AD-DB,-0.7751007928952834,0.0006878209705105229
AD-CH,0.2967612404466399,0.2827896655360366
AD-idea,0.36800474220664386,0.17715498802315965
