Metric,Correlation,P-value
cSIL,,
GD43,,
GD53,,
PS,,
rCIP,,
WB,,
XB,,
SSE,0.025220926871837888,0.9289076583793121
RS,,
DH,0.3217336348659345,0.24224675226591977
B,0.2844534564385328,0.3041686404172956
BH,0.4043377897900221,0.13495613877450374
D,-0.24564321004348263,0.3775226310205834
H,,
DBCV,0.17013396587160312,0.5443767506825488
I,-0.025548612367679815,0.9279861790301963
C,0.13680180244280166,0.6268519753700855
VIASCKDE,0.30911999339854984,0.28219333178319655
COP,-0.014823438385509917,0.9581840358257119
Sym,0.22829025726368218,0.4131570919139747
CS,0.2510296939072894,0.36681177382098834
SF,0.1721884119613641,0.5394536428414206
SD,0.1954960671085875,0.4850204626438001
SDbw,0.35308782700656355,0.19672711679651933
XB*,0.24432593521032023,0.38016749421948715
S,0.07363165638680885,0.7942565061366279
DB,0.2962941060519326,0.28358430181008365
CH,0.28201423098666956,0.3085145220556261
AD-S,0.38865801518592097,0.15223050876297578
AD-DB,-0.4985220974589654,0.058560633413379665
AD-CH,0.3082027991355063,0.26374164291754953
AD-idea,-0.10791941380469298,0.7018452968733974
