Metric,Correlation,P-value
cSIL,0.5252778215753238,0.04435096691200201
GD43,0.4879821001915876,0.06498088340947825
GD53,0.24154186147690918,0.3857902368071206
PS,-0.10453522016521305,0.7108178128689624
rCIP,-0.25409930102873435,0.3607833173181233
WB,-0.39600752072754014,0.14395903183755834
XB,-0.26011456477379835,0.34912966994258443
SSE,0.0872450259801605,0.7571889958598613
RS,0.5199963693306016,0.046928994482784946
DH,-0.23081830127406872,0.40785990008325024
B,-0.17506095771735664,0.5326031790220238
BH,0.05175721382642133,0.8546521596407916
D,0.39813927585679887,0.14161768188110554
H,-0.5024938026383102,0.056265693277217
DBCV,0.5569644275863126,0.031026345066422125
I,0.5266327380584309,0.043706845079585124
C,-0.4710918257656649,0.076309206622798
VIASCKDE,0.17342904315698476,0.5709698115567816
COP,0.24168999701927898,0.38548994187754304
Sym,0.5217891676917903,0.04604178969702348
CS,-0.3662061987191871,0.17944439413709487
SF,0.4764488610678986,0.07257384494696553
SD,0.04815939458112317,0.8646668118059412
SDbw,-0.23265462341485743,0.40403455401537725
XB*,-0.4586091735626386,0.0855436325819138
S,0.39222092128937996,0.14818192232975724
DB,-0.3902535296023533,0.15040846246034076
CH,0.43915014361891225,0.10147827691701174
AD-S,0.5453939039797642,0.03548368218946695
AD-DB,-0.5588206935929604,0.03035248354153049
AD-CH,0.14914549250084805,0.5957595123724069
AD-idea,-0.1163552780158946,0.6796399197643369
