,ecoli,glass,yeast,statlog,wdbc,wine,ionosphere,sonar
cSIL,-0.020040282,0.156249534,-0.865196186,0.22075699,-0.273369029,-0.216887127,0.14735546,0.158926098
GD43,0.091015696,0.277927142,-0.049207486,0.190719466,0.032980393,-0.084291445,0.494168407,0.010564243
GD53,0.000340182,0.090084968,0.033727509,0.164993888,-0.48418156,-0.40696798,-0.351742197,-0.508465161
PS,-0.01389073,0.143305448,0.455446382,0.014216971,0.041326348,0.171965046,-0.146415961,0.224822149
rCIP,-0.040668908,-0.212555385,-0.355897127,0.038607047,-0.095378795,-0.241503807,-0.09325699,0.416834124
WB,-0.853349062,-0.599197261,-0.626060142,-0.686453344,-0.437128036,-0.213967983,-0.087592938,-0.5263638
XB,-0.105758378,-0.171737475,0.042194724,-0.044501409,0.579367915,-0.263740043,-0.073279285,0.07929471
SSE,-0.908991648,-0.518562513,-0.235566973,-0.585504951,-0.503824293,-0.720550018,-0.214846955,-0.917796989
RS,0.298300126,0.169736329,-0.050622243,0.05544649,-0.489950395,0.019051592,0.028964581,-0.282176734
DH,0.168698735,0.112223854,0.381817249,0.4330483,0.322248189,-0.316771049,-0.309608228,-0.379056176
B,0.281402929,-0.164432019,0.112760781,0.228178534,0.196696396,-0.271420634,-0.118128894,-0.279338765
BH,-0.813797387,-0.358757686,-0.393414241,-0.473996809,-0.671336465,-0.721243026,-0.312202442,-0.780884879
D,-0.42439132,0.033218524,-0.332521187,0.0162837,-0.471146189,-0.119136861,-0.117359902,-0.31511024
H,0.006063905,-0.204249353,-0.165061932,0.056898551,0.094072117,-0.063423661,0.054010832,0.449118478
DBCV,-0.223010523,0.245547303,-0.346638839,-0.186996881,-0.80673516,0.201238151,-0.01226784,0.350670039
I,-0.132893264,0.159110229,0.07672433,-0.370438476,-0.621593671,-0.167615641,0.282831957,-0.55415506
C,0.409581322,-0.401115557,-0.512251549,-0.573818411,0.490127832,-0.457797728,-0.346688119,-0.56427239
CDbw,null,null,null,null,null,null,null,null
VIASCKDE,0.44597756,0.324180365,-0.406458271,0.505898781,-0.055413638,0.360276826,0.173814132,-0.941837994
COP,-0.743150187,0.341995038,0.04289561,-0.064240392,0.042740794,0.17491388,-0.174506363,-0.908907779
Sym,-0.088423967,0.101717517,-0.044921229,0.284778959,0.088375227,-0.083985879,0.117996023,0.696527791
CS,0.111875609,-0.09080536,0.405147912,0.241253783,0.794570314,-0.060002122,-0.219106808,-0.16207566
SF,0.316221495,0.184629839,-0.198609057,0.145599221,-0.344946601,-0.332919195,0.3303612,-0.040766254
SD,-0.777752577,-0.447833406,0.081269167,-0.231011549,-0.383233202,-0.558586341,-0.354329671,-0.527838746
SDbw,-0.48256559,-0.227033434,0.174719096,-0.017672632,-0.403408593,-0.687589664,-0.352604997,1
XB*,-0.072372842,-0.196942953,0.030797287,-0.009728505,0.044008296,-0.227459401,-0.088087459,0.579890104
S,0.047787595,0.294918735,0.233105181,-0.133642837,-0.766612159,0.210176449,0.204905894,0.401277169
DB,0.017617608,-0.083328823,0.317468084,0.284338286,0.865009555,-0.258084681,-0.133442665,-0.18793066
CH,0.78890631,0.490038209,0.568710673,0.413039803,0.586024189,-0.133745377,0.477074947,0.336863591
AD-S,-0.6140169,0.11866761,-0.590878177,-0.539208414,-0.839402352,-0.090978869,-0.025901567,0.201671024
AD-DB,0.377125148,-0.022570847,0.677110821,0.40304802,0.836318172,0.030169396,0.060732539,-0.057112362
AD-CH,0.554918124,0.302041268,0.211040287,0.475943872,0.197950861,-0.446320151,-0.005750273,-0.250563768
AD-idea,-0.432913542,-0.318937432,-0.346833092,0.050568735,-0.076470191,-0.167584651,-0.026605734,0.518819422
