,ecoli,glass,yeast,statlog,wdbc,wine
cSIL,-0.4801106200052471,-0.38006674994159373,-0.8491453961140385,0.24602149511321766,-0.3994696551174249,-0.24991042114853637
GD43,-0.5004405120212962,-0.3085531836172991,0.07663911372509051,-0.189941541772992,-0.7339877470824676,0.5201575835115074
GD53,-0.63755818905138,-0.3218442787936981,0.01786369316597935,0.3811395541897838,-0.31117676880346656,0.4140327039855502
PS,-0.3906781933514853,-0.15968437220201456,0.4589723471053312,0.004195146166116843,-0.06628505476029667,-0.008442434152622677
rCIP,0.25845386904352197,0.3289387553168411,0.32999625242060543,0.027182069501345867,0.7531608428085096,0.18377041109791167
WB,-0.7726420832487787,-0.5440879945740419,-0.5714707509157384,-0.700384596074156,-0.678263693492208,-0.4016610143270995
XB,0.19144590423394942,0.0750280514011864,0.015771226103906657,-0.1178782171094371,0.6781263881901515,-0.432998168781111
SSE,-0.35024919822001316,-0.011427379139767203,-0.6143657063613834,-0.5823812542758291,-0.30345172149401345,-0.41875742590236276
RS,-0.650430314859717,-0.21100558440460812,-0.4507856884684983,0.0709464232948499,-0.6518166998474179,0.29438922369289344
DH,-0.41722932592047135,0.08141982469200815,-0.025258039210405307,0.1663082508502207,-0.1518638362670185,-0.16211406677301232
B,-0.6166138165770046,0.15065457625572037,-0.2859048647396379,-0.19892554652130523,-0.5995789304686814,-0.24549727898516974
BH,-0.30744829781555677,-0.3710870046348727,-0.08745959345635332,0.2006198631531484,-0.22659175159990458,-0.5661368066152985
D,-0.21075553011062692,-0.48151219676945994,-0.43711824620422496,-0.26514628472303353,-0.22989148194377787,-0.12003506920415351
H,0.6063557072846794,0.7111093838970043,0.44738072403704315,0.03491456862885089,0.8318793664524112,0.04868496889122776

I,-0.10418676377381923,-0.14050576331276163,-0.37454034952127585,-0.1937454985592798,-0.05737167868029797,-0.08944048407017993
C,-0.521933256700929,-0.031121702655159126,-0.7129906242715572,-0.3939605552607476,-0.45217143344723465,-0.36808053483727493

VIASCKDE,0.8661022323157058,0.06919964564028307,0.4954970212093715,0.04498542790768826,0.07565528357267949,0.3296867402153482
COP,-0.014527610002725583,0.03176562313023698,-0.518724198422045,-0.6912144374911933,-0.03110762576443351,-0.5792917481731542
Sym,0.336567830043327,-0.12974057694563487,0.552795185686254,0.290636128290866,0.13657554042106893,0.0018441141769531644
CS,-0.3634193053839003,0.19510572725070738,-0.11415032360821445,0.022629281967444823,-0.3205791416527942,-0.04531911028705572
SF,-0.8086419122397343,-0.5093470832640441,-0.10689647939927027,0.2425029158988561,-0.8235084190869753,-0.3781101073415505
SD,-0.5893628186941794,-0.17762449745834594,-0.2859828161480977,-0.05988125437162714,-0.13487991285969456,-0.36170791469123464
SDbw,-0.5387551400649899,-0.21859793617305226,0.05662921653939834,0.1721842784250464,-0.5362239948027988,-0.36105282735274213
XB*,-0.04948177049149602,0.21069074695956383,-0.35644414877661273,-0.32116444357521345,-0.2438210776096358,-0.3018913061299803
S,0.14430402849751195,-0.07733397273193723,0.6445244327044767,0.2769791802937159,0.0665796785886373,0.08503494940968366
DB,-0.3901187961052495,0.10586778438829057,-0.2583817937843335,-0.2196388535130914,-0.3670188159215659,-0.19714753828697038
CH,0.7631878477014571,0.21829726418140508,0.7680745218478967,0.8420939535557634,0.885704226625124,0.15394830466073306
