,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.130,0.764*,0.620*,0.790*,0.586*,-0.072,0.001s
GD43 (↑),0.011,1.813*,1.128*,1.998*,1.051*,0.036*,0.000s
GD53 (↑),0.001,0.494*,0.490*,0.488*,0.500*,0.419*,0.000s
PS (↑),-0.426,1.830*,1.881*,1.963*,1.881*,1.742*,0.003s
rCIP (↓),1.420,0.054*,0.056*,0.021*,0.071*,2.238,0.001s
WB (↓),24.279,2.486*,4.912*,2.131*,5.658*,845.268,0.000s
XB (↓),389.679,0.309*,0.613*,0.266*,0.706*,373.173*,0.000s
SSE (↓),104.246,67.289*,86.287*,62.635*,89.711*,120.848,0.000s
RS (↑),-3.197,-0.107*,-0.422*,-0.032*,-0.478*,-2.994*,0.000s
DH (↓),0.570,0.567*,0.655,0.528*,0.695,0.993,0.004s
B (↓),3.296,0.620*,1.232*,0.537*,1.420*,155.047,0.000s
BH (↓),26.061,33.644,43.143,31.317,44.855,30.212,0.000s
D (↑),0.017,0.274*,0.226*,0.305*,0.190*,0.007,0.000s
H (↓),2.039,0.472*,0.760*,0.421*,0.828*,3.985,0.000s
DBCV (↑),0.635,-0.998,-0.970,-0.989,-0.992,-0.998,31.826s
I (↑),0.071,0.353*,0.214*,0.411*,0.157*,0.001,0.000s
C (↓),0.339,0.198*,0.273*,0.161*,0.304*,0.471,0.004s
CDbw (↑),1.683,0.004,0.014,0.009,0.007,0.003,1.155s
VIASCKDE (↑),0.690,0.452,0.522,0.508,0.499,-0.204,0.075s
COP (↓),0.237,0.234*,0.232*,0.229*,0.253,0.283,0.005s
Sym (↑),0.079,0.015,0.009,0.016,0.011,0.002,0.001s
CS (↓),4.943,1.412*,2.035*,1.341*,2.106*,42.232,0.000s
SF (↑),0.145,0.369*,0.350*,0.381*,0.323*,0.090,0.003s
SD (↓),4582493.560,2379258.468*,3021295.070*,2309315.227*,3455495.666*,4091414.349*,0.007s
SDbw (↓),2.631,2.042*,2.597*,1.930*,2.877,2.827,0.004s
XB* (↓),1465.803,0.313*,0.625*,0.273*,0.706*,409.986*,0.000s
S (↑),0.149,0.408*,0.330*,0.460*,0.294*,-0.037,0.019s
DB (↓),30.091,0.989*,1.274*,0.918*,1.484*,30.187,0.001s
CH (↑),15.157,223.642*,113.192*,260.913*,98.263*,0.435,0.000s
ED-S (↑),0.671,-0.021,0.255,-0.027,0.355,-0.120,1.233s
ED-DB (↓),0.671,3.526,0.827,3.558,1.315,28.389,0.365s
ED-CH (↑),120.788,172.122*,331.285*,172.923*,368.270*,10.439,0.441s
AD-S (↑),0.838,0.068,0.340,0.067,0.337,0.011,0.016s
AD-DB (↓),0.545,8.400,1.416,8.486,1.424,37.948,0.017s
AD-CH (↑),279.120,64.731,388.411*,64.655,386.427*,7.848,0.017s
AD-idea (↑),4403.845,1.415,4.112,1.537,5.635,0.869,0.032s
