,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.000,0.609*,0.610*,0.608*,0.612*,0.000,0.005s
GD43 (↑),0.001,1.060*,1.049*,1.052*,1.071*,0.013*,0.002s
GD53 (↑),0.260,0.498*,0.493*,0.497*,0.499*,0.497*,0.002s
PS (↑),1.963,1.947,1.959,1.940,1.951,1.854,0.001s
rCIP (↓),0.332,0.140*,0.139*,0.140*,0.139*,0.332,0.002s
WB (↓),1256987.830,5.133*,5.124*,5.168*,5.066*,23260.686*,0.001s
XB (↓),157123.479,0.642*,0.640*,0.646*,0.633*,2897.805*,0.001s
SSE (↓),478.657,344.444*,344.274*,345.100*,343.171*,478.616*,0.000s
RS (↑),-1.000,-0.439*,-0.438*,-0.442*,-0.434*,-1.000,0.000s
DH (↓),0.758,0.721*,0.720*,0.721*,0.718*,0.999,0.023s
B (↓),314876.711,1.286*,1.283*,1.294*,1.269*,5787.754*,0.001s
BH (↓),239.328,172.222*,172.137*,172.550*,171.586*,239.308*,0.000s
D (↑),0.446,0.203,0.203,0.199,0.200,0.067,0.002s
H (↓),2.000,0.782*,0.781*,0.785*,0.775*,1.999*,0.001s
DBCV (↑),0.982,-0.999,-0.998,-0.999,-0.999,-1.000,40.272s
I (↑),0.000,0.164*,0.164*,0.163*,0.166*,0.000,0.000s
C (↓),0.346,0.318*,0.317*,0.318*,0.316*,0.500,0.066s
CDbw (↑),0.082,0.008,0.003,0.003,0.003,0.003,0.934s
VIASCKDE (↑),0.860,0.545,0.565,0.541,0.577,0.003,0.617s
COP (↓),0.638,0.459*,0.455*,0.477*,0.446*,0.494*,0.020s
Sym (↑),0.000,0.003*,0.004*,0.003*,0.003*,0.000,0.007s
CS (↓),685.210,1.961*,1.940*,1.961*,1.939*,122.185*,0.010s
SF (↑),0.271,0.314*,0.314*,0.314*,0.315*,0.271,0.001s
SD (↓),39356886.143,27849483.223*,27834184.234*,29997994.348*,29753518.014*,38721638.790*,0.072s
SDbw (↓),2.000,2.558,2.571,2.561,2.607,2.887,0.005s
XB* (↓),301919.694,0.644*,0.650*,0.650*,0.634*,2914.298*,0.001s
S (↑),0.268,0.254,0.255,0.254,0.257,-0.001,0.037s
DB (↓),659.861,1.424*,1.420*,1.427*,1.414*,89.611*,0.004s
CH (↑),0.002,388.871*,389.559*,386.238*,394.016*,0.086*,0.001s
ED-S (↑),0.879,-0.154,-0.194,-0.184,-0.171,-0.217,8.019s
ED-DB (↓),0.286,18.018,21.070,16.424,18.393,19.869,2.936s
ED-CH (↑),4098.263,102.526,105.927,130.234,99.984,88.384,4.656s
AD-S (↑),0.940,0.003,0.003,0.008,0.013,0.002,0.180s
AD-DB (↓),0.120,17.370,22.453,15.367,17.197,35.723,0.216s
AD-CH (↑),8309.400,97.364,84.687,105.225,98.268,81.278,0.204s
AD-idea (↑),304.881,0.996,0.998,0.999,0.976,0.920,0.345s
