,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.954,0.920,0.920,0.908,0.464,-0.165,0.045s
GD43 (↑),6.918,2.461,2.571,2.075,1.023,0.007,0.006s
GD53 (↑),0.038,0.133*,0.157*,0.095*,0.450*,0.392*,0.007s
PS (↑),-2.905,1.031*,1.028*,1.047*,1.519*,2.001*,0.006s
rCIP (↓),0.000,0.000,0.000,0.000,0.107,25.018,0.007s
WB (↓),0.101,1.234,1.477,0.901,9.696,6297.128,0.010s
XB (↓),0.035,0.037,0.042,0.032*,1.113,20969.157,0.012s
SSE (↓),16.988,520.448,579.557,423.855,1130.932,1362.487,0.001s
RS (↑),0.611,-0.740,-0.714,-0.839,-0.699,-6.996,0.002s
DH (↓),0.099,0.296,0.297,0.311,0.576,0.999,0.580s
B (↓),0.002,0.042,0.047,0.037,2.058,694.138,0.002s
BH (↓),2.124,260.224,289.778,211.928,565.466,170.311,0.001s
D (↑),0.301,0.357*,0.530*,0.605*,0.138,0.003,0.095s
H (↓),0.366,0.150*,0.153*,0.165*,1.064,7.995,0.001s
DBCV (↑),0.950,-0.995,-0.979,0.973*,-1.000,-1.000,41.294s
I (↑),3.599,0.955,0.911,0.960,0.064,0.000,0.002s
C (↓),0.000,0.018,0.042,0.001,0.314,0.262,1.855s
CDbw (↑),1.830,0.066,0.037,0.575,0.006,0.028,0.975s
VIASCKDE (↑),0.894,0.936*,0.948*,0.888,0.897*,-0.461,13.193s
COP (↓),0.140,0.135*,0.119*,0.397,0.120*,0.158,0.062s
Sym (↑),0.122,0.003,0.002,0.006,0.000,0.000,0.017s
CS (↓),0.732,0.987,1.157,0.714*,4.697,212.994,0.159s
SF (↑),0.423,0.407,0.409,0.402,0.462*,0.079,0.005s
SD (↓),678312772.982,11821999705.876,11499521995.819,12767720201.314,12501533242.393,12678890246.265,0.929s
SDbw (↓),0.221,0.932,0.908,1.008,2.523,2.968,0.016s
XB* (↓),0.263,0.138*,0.134*,0.169*,1.236,23286.927,0.009s
S (↑),0.833,0.803,0.794,0.815,0.471,-0.063,0.865s
DB (↓),0.358,0.483,0.484,0.517,1.252,104.686,0.003s
CH (↑),73547.559,10534.806,8797.632,14416.420,1340.393,1.178,0.001s
ED-S (↑),0.966,0.888,0.877,0.903,0.474,-0.323,210.555s
ED-DB (↓),0.317,0.262*,0.241*,0.217*,1.083,71.290,48.996s
ED-CH (↑),28272.457,3316.401,3779.692,13670.646,2929.431,72.785,47.336s
AD-S (↑),0.970,0.858,0.855,0.887,0.547,-0.132,2.299s
AD-DB (↓),0.259,0.258*,0.266,0.246*,1.541,60.132,2.232s
AD-CH (↑),37481.264,3148.875,3895.512,13315.163,3502.345,78.403,2.349s
AD-idea (↑),955179803.940,53.133,50.139,61.418,3.024,0.251,4.370s
