,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.763,0.669,0.714,0.716,0.652,-0.081,0.083s
GD43 (↑),2.386,1.441,1.753,1.878,1.460,0.002,0.007s
GD53 (↑),0.098,0.442*,0.465*,0.494*,0.469*,0.433*,0.007s
PS (↑),3.788,1.754,1.903,1.948,1.948,2.365,0.007s
rCIP (↓),18.399,0.105*,0.081*,0.095*,0.100*,58.977,0.009s
WB (↓),1.608,4.016,3.210,3.171,4.261,5647.763,0.007s
XB (↓),0.389,0.495,0.401,0.396,0.533,203510.077,0.008s
SSE (↓),137.872,950.599,877.306,873.194,969.077,1420.198,0.001s
RS (↑),-0.461,-0.312*,-0.229*,-0.226*,-0.362*,-13.959,0.001s
DH (↓),0.268,0.654,0.619,0.623,0.667,0.997,0.287s
B (↓),0.100,0.977,0.801,0.793,1.065,343.725,0.002s
BH (↓),9.191,475.299,438.653,436.597,484.538,94.680,0.001s
D (↑),0.014,0.171*,0.160*,0.160*,0.156*,0.004,0.029s
H (↓),3.416,0.651*,0.571*,0.568*,0.695*,14.988,0.001s
DBCV (↑),-0.969,-0.993,-0.978,-0.998,-0.998,-0.999,31.653s
I (↑),0.113,0.150*,0.188*,0.187*,0.142*,0.000,0.001s
C (↓),0.061,0.246,0.205,0.208,0.249,0.471,1.072s
CDbw (↑),0.074,0.004,0.009,0.003,0.009,0.017,1.383s
VIASCKDE (↑),0.334,0.697*,0.706*,0.697*,0.679*,-0.431,6.398s
COP (↓),0.155,0.236,0.263,0.224,0.267,0.378,0.047s
Sym (↑),0.005,0.005,0.005,0.006*,0.005,0.000,0.011s
CS (↓),1.983,2.029,2.040,1.996,2.207,111.588,0.054s
SF (↑),0.139,0.378*,0.390*,0.388*,0.376*,0.001,0.005s
SD (↓),621483444.486,4058787397.625,3821424452.871,4190124457.029,4909332799.077,6197203345.718,0.504s
SDbw (↓),0.469,1.833,1.710,1.782,2.032,2.889,0.010s
XB* (↓),0.787,0.560*,0.431*,0.401*,0.568*,218414.233,0.005s
S (↑),0.321,0.321,0.360*,0.354*,0.316,-0.042,0.460s
DB (↓),0.886,1.276,1.149,1.154,1.322,190.785,0.002s
CH (↑),3321.509,2488.863,3114.332,3152.535,2346.105,0.946,0.001s
ED-S (↑),0.222,-0.020,-0.003,-0.049,0.009,-0.126,164.320s
ED-DB (↓),1.714,1.848,2.081,2.130,2.296,8.855,17.399s
ED-CH (↑),549.784,4998.385*,4716.505*,4360.262*,4178.427*,163.501,17.928s
AD-S (↑),0.264,0.011,0.033,0.008,0.040,-0.014,1.684s
AD-DB (↓),1.847,1.886,2.260,2.259,2.255,5.237,1.697s
AD-CH (↑),454.804,4353.794*,4273.604*,4191.091*,4000.560*,215.831,1.753s
AD-idea (↑),4.213,0.886,1.032,0.941,1.032,0.000,1.977s
