,Correct evaluations (out of 44),Errors (out of 220)
cSIL (↑),24,65
GD43 (↑),23,73
GD53 (↑),1,180
PS (↑),26,76
rCIP (↓),11,116
WB (↓),26,61
XB (↓),22,76
SSE (↓),26,58
RS (↑),24,68
DH (↓),30,39
B (↓),27,53
BH (↓),32,30
D (↑),14,106
H (↓),10,113
DBCV (↑),41,3
I (↑),21,69
C (↓),26,59
CDbw (↑),40,5
VIASCKDE (↑),21,62
COP (↓),25,67
Sym (↑),28,43
CS (↓),24,57
SF (↑),11,109
SD (↓),30,42
SDbw (↓),29,41
XB* (↓),18,87
S (↑),23,63
DB (↓),24,70
CH (↑),23,68
ED-S (↑),34,21
ED-DB (↓),22,49
ED-CH (↑),20,80
AD-S (↑),37,15
AD-DB (↓),31,31
AD-CH (↑),22,78
AD-idea (↑),44,0
