K,AD-Silhouette Score,Is_Estimated_K,Is_True_K
2,0.5290283485785754,True,False
3,0.3635654024544666,False,True
4,0.17748845373650105,False,False
5,0.044071463996011334,False,False
6,0.04946421970069652,False,False
7,0.08849093738958674,False,False
8,0.06639100335578975,False,False
9,0.059962769297181556,False,False
10,0.08885554636809057,False,False
