Metric,Correlation,P-value
cSIL,0.7071243145331277,0.04981704443194672
GD43,0.7170711217017883,0.04528548536192193
GD53,0.6447524977530044,0.08434055081535873
PS,0.24239525543136065,0.5629976527337102
rCIP,-0.12709499414532197,0.7642506788350523
WB,-0.6574530115708904,0.07643785234454233
XB,-0.7303920475997616,0.03962087820910443
SSE,-0.23867236241389328,0.5691937038872656
RS,0.6579736609516149,0.07612355155942889
DH,-0.31339749268796513,0.4497225623899947
B,-0.3014849558979023,0.46803533798949126
BH,-0.09541840236629126,0.822173470932939
D,-0.0026888647410377065,0.9949584029110953
H,-0.6067600202769257,0.11071407611960699
DBCV,0.553116710787608,0.1550165025310257
I,0.1829288191192637,0.6645833229435048
C,-0.3948857922879319,0.33295896479740084
VIASCKDE,-0.23342681573841098,0.5779635564952359
COP,-0.37754227111456257,0.3564995049054053
Sym,0.14854007829030755,0.7255569998269458
CS,-0.5415609158468845,0.16564609117502532
SF,0.5418335222543277,0.16539091478259138
SD,0.00474188972484227,0.9911090900448309
SDbw,-0.22347874172937562,0.6300131758838812
XB*,-0.4211034668890414,0.2988072210014977
S,0.5694965868659834,0.14060835526012466
DB,-0.589400649546886,0.12414218464972147
CH,0.2978363712035078,0.47370297260251804
AD-S,0.06495647118295453,0.8785487749299812
AD-DB,-0.22729868595193162,0.5882665917039913
AD-CH,0.4247414311912626,0.2942079407955335
AD-idea,-0.1405187269848209,0.7399751099589672
