,ecoli,glass,ionosphere,sonar,wdbc,wine
cSIL,-0.32762941448342053,-0.582725861963326,0.5273752140572431,0.15433285982473666,-0.15052298960761326,0.5599478049825198
GD43,0.38724045273658747,-0.585668413410218,0.4073276890969502,-0.6849804982972699,0.3543532562893857,0.6862614270252487
GD53,-0.4200532922424738,-0.6739127681289445,-0.6540424898485968,-0.8089478316547964,0.07266283344942179,0.39701821202946624
PS,-0.0013208984036667164,-0.728177918934627,0.006335591952118144,0.44523652650252554,0.03771035835672416,0.5488890612105599
rCIP,0.5851202670302779,0.5245321995120975,-0.06970223777991559,0.32407492562802875,0.19120519798029476,-0.5271992512499
WB,-0.6633017708974212,-0.3867800975673774,-0.5875085607419045,-0.7309891348579635,-0.7935763513370635,-0.828836407030941
XB,0.412181739371547,0.6850109216489647,-0.07614788365206861,0.8718540678218363,-0.026085560635990202,-0.9279399267208378
SSE,-0.7595564154990943,-0.8469833279902783,-0.8411399708338704,-0.705347042906939,-0.8122462207623745,-0.4049963058397997
RS,0.6871248048254937,-0.24647203714505772,0.5972336581203586,-0.4670749551539579,-0.0688295585157116,0.5790029763553819
DH,-0.21190219026166518,-0.5887698899835511,-0.680385503394049,-0.7213092180826697,0.3473086657867467,0.3489366320350569
B,0.19852875350309585,-0.6771316141954011,-0.7774791746513439,-0.7230483607215477,-0.14672817654327946,-0.0054850563188813765
BH,-0.8245235169004504,-0.8151687368241914,-0.8303359600169288,-0.7147645167750284,-0.7960700130061582,-0.3602410334104909
D,-0.7837087804556949,-0.5760019311863626,-0.35408342078730864,-0.8263883220464964,0.3541561092512269,0.2863493340971913
H,0.541941548833859,0.7445236361501882,-0.038269000736635354,0.5148469081004532,0.18157424444685713,-0.545578859222827
DBCV,-0.46956297662811963,-0.35632011836147964,-0.010386357468050464,0.5949134136070495,-0.23920809850728425,0.17435724319754883
I,-0.5221710763636835,-0.6512396337685243,0.47117145810415556,-0.7108102561263688,-0.5524853416034268,0.8525241862567701
C,0.3078153217537341,0.43909919377500106,-0.8308673226225041,-0.7598179992208873,-0.8298472329510924,-0.6731590283149324
VIASCKDE,0.7438782364138157,0.8044161268139878,0.5126540097585174,-0.7409926840612653,0.8516886523454293,-0.5951298454167506
COP,-0.505078203513251,0.8223518747481287,-0.37486961634106597,-0.7624566849631315,-0.0377753105829877,-0.5141964207092572
Sym,0.5396324913229273,0.21407170058586114,0.7441985948056082,0.017801976009421083,0.4859271817969505,0.5459924210536857
CS,0.24185535499024374,0.05108040176414945,-0.6363592940777866,-0.5479739633474473,0.03977540796895758,-0.13828960805368004
SF,0.39295206455295156,-0.8945249221486119,0.1231182980922999,-0.6481269033856911,0.25430059596260457,0.7404268950005877
SD,-0.855038442456639,-0.7506448807025455,-0.8406064659812271,-0.7811398578984294,-0.5537423088839293,-0.14287518188829523
SDbw,-0.7834024455692559,-0.7364593454826238,-0.8946963290090337,,-0.12191003194266661,-0.2309804828789508
XB*,0.49093907490919964,0.6772910190111444,-0.0691024920009093,0.8073562482692981,-0.0025674527952439883,-0.8025952703827031
S,-0.17113650534579739,-0.8678985992248757,0.44493921865326325,0.5361472867638495,0.07305606943045613,0.9469934326543833
DB,0.17801255401695665,0.6239863421427924,-0.6420202263317886,-0.3945564621706367,0.18395564740998932,-0.35853538166678983
CH,0.5761186574003646,-0.22715681594200354,0.7772714276570739,0.9106440970129965,0.6363694853667353,0.7180556346349639
AD-S,-0.6450069684557037,-0.5990572854118122,0.22332788631213452,0.029909542111650683,-0.6356347570822409,-0.1779965413849534
AD-DB,0.6271524624504436,0.45163022718060736,-0.34448805733406224,0.13279823532316506,0.6711790937013301,0.25181909028306065
AD-CH,0.27046917419493904,-0.8023384518070638,-0.047911983870233675,-0.24680534425766082,0.3881628486293047,0.7271407175255907
AD-idea,-0.574122863193987,0.6149319056537965,0.04111419193729962,0.4319079258981916,-0.33399415905978397,-0.5303162284867095
