,ecoli,glass,ionosphere,sonar,wdbc,wine
cSIL,,,,,,
GD43,,,,,,
GD53,,,,,,
PS,,,,,,
rCIP,,,,,,
WB,,,,,,
XB,,,,,,
SSE,-0.8382807741436802,0.7782480225434822,0.7729282428431378,-0.7871976729920553,-0.605366178131595,0.30938990516597603
RS,,,,,,
DH,0.9261547092240583,0.6611103039996459,0.9460758014113194,-0.8164957598755808,0.564842661145495,0.7294780444567417
B,0.8179663857727761,0.44447474406601745,0.8890235984727347,-0.6186006311582088,0.45202427936374634,0.8232063321168313
BH,-0.8406798715201196,0.8387302072516235,0.9541031324293584,-0.7910902078760466,-0.7290241633502224,0.254330256904001
D,-0.8940000061648566,0.46922020219701555,-0.046304166841622495,0.04966484707325895,0.3737579505261003,-0.7389308335077499
H,,,,,,
DBCV,-0.7978722030633136,0.580321503375373,0.6695395972488907,-0.09947974436277211,-0.5123392199275185,-0.5945573827560964
I,0.23857892153896942,-0.16920545892101743,-0.5329896258564092,-0.1529487141725113,0.3731581770232595,-0.33652239551799873
C,0.6743077017360197,-0.9692553442839008,-0.9749641352296097,0.6781544832240691,0.3776386568574642,-0.8597089980003627
VIASCKDE,0.5575789299639243,-0.08667992945602766,-0.7631841247426498,-0.45960150520061044,0.5521285382109771,0.4983752955480441
COP,-0.6824465914053108,0.09391191469279878,0.013820377936628289,-0.8729589665005559,-0.6821135977724938,-0.09345502513409859
Sym,-0.9093398421296974,0.8385043442525467,0.8189818175004888,-0.8545696981851354,-0.4722804396396683,0.6243849698667415
CS,0.9365064624008415,0.6735417331871344,0.9523532409657437,-0.7438254304448575,0.8547583287790202,0.8512100171323793
SF,-0.9301910774983084,0.5632291990208064,0.06914589078188836,-0.5614093923376041,0.5775376335177748,-0.16396016904578903
SD,0.6700152339586013,0.7722444144167846,0.9770658600238833,-0.810194416129606,-0.530853858473519,0.9640156281528741
SDbw,0.9232744124604845,0.43333894005437457,0.9587123226769326,,0.07931543209680827,0.9404207007563902
XB*,0.8393277761795167,-0.6435694098932904,-0.31117422019503727,0.8525773283708649,0.5830100203322152,0.5448652761928252
S,-0.7531662682373896,0.9797296814482376,0.9430792970742228,-0.5831143532555295,-0.3292446353538723,0.835854086871292
DB,0.9701923255049993,0.3184964642884187,0.8850269535205781,-0.7183594604787267,0.8516292237872214,0.9427763580833638
CH,0.9396975643453862,0.8228417710080163,0.8197765136683995,-0.581430096703266,0.7510347018704584,0.9930789403177229
AD-S,-0.8927488964454076,0.8806402280271002,0.6728391964027342,-0.5414847364051527,-0.7704760647783266,0.005626297555095555
AD-DB,0.955344958202541,0.5175892110274213,-0.5269135203730916,0.3196307143535869,0.7250614853253868,0.88937642732393
AD-CH,0.8361750397528864,0.7596131405255161,0.9458816958756909,-0.673405128146925,0.8089529073641254,0.7749828481871838
AD-idea,-0.910287657529599,-0.6247781723776391,-0.43612069375317064,0.7564405311125293,-0.4267360230596729,-0.47515168966416643
