,ecoli,glass,ionosphere,sonar,wdbc,wine
cSIL,-0.6858992303586693,-0.8680462572452978,-0.5252907499495697,-0.36443259218596047,-0.767998386833499,-0.8085188214728878
GD43,0.33513683394091137,-0.8854424817820098,-0.6513612927209336,-0.2806348346046038,-0.5128696983998852,-0.33919419153207897
GD53,0.5839378485814075,0.44762679850936327,-0.07886153639821265,0.6102173548584138,0.17134928296027038,0.3415715641125527
PS,0.5336602766810096,-0.05109223976231808,0.5432262789785748,0.24654001418712784,0.3840144055856756,0.7876068857604495
rCIP,0.42432353104655085,0.5940324544675984,0.770448961390541,-0.003920915903627966,0.4217433581007113,0.6086660427049104
WB,-0.9160813674107016,-0.8633986088037506,-0.8367773282629933,0.1656453952804252,-0.8431875937491794,-0.8334957674592076
XB,-0.6497783070240087,0.7133761477266098,0.28305430148147653,0.41717016798401374,0.3055181646997305,0.5075416961585519
SSE,-0.9549005018940893,-0.8998186908913094,-0.9284317590948987,-0.0762354085687485,-0.8963758147309403,-0.9579917441805852
RS,-0.8230057941250383,-0.8661963775599769,-0.2882111089919462,-0.2145040837214227,-0.0971972269227564,-0.8137544349600239
DH,0.795815976767621,0.8446843549006743,0.5778785618579203,0.353158416056442,0.8192092421738189,0.8265247939743305
B,-0.3723405993036612,0.27392058365804955,0.6608262698123771,0.22568729427284856,0.789114252471326,0.5320393384768909
BH,-0.909536049835833,-0.7316900839859615,-0.5610472067644616,0.3437928620347377,-0.49994844879204636,-0.6791031674288296
D,-0.4547440426302571,-0.9058052870966558,-0.8743924643872564,-0.22612284467827398,-0.7033886419981883,-0.7890547705722162
H,0.6756421531562252,0.9086916238792367,0.5344565087171934,0.28048687784189613,0.6006327585421696,0.7623097126626635
DBCV,-0.8898597011905706,-0.8877416680792984,-0.7780801059065856,-0.10924726869255091,-0.8050777910418102,-0.8016269126111102
I,0.5010809499734413,-0.30683900243777595,-0.6321524006205033,0.1152518226128015,-0.6642211035912647,-0.3647550681262866
C,0.19251821840643085,0.3139984642391709,0.39374095251375346,0.3933447692036694,0.2923665539686417,-0.888254829819506
VIASCKDE,0.5855764477766932,0.1770717614285441,0.9571465584732489,-0.7241505412505977,0.8927883531322545,-0.5460403096152364
COP,-0.9400458358945916,-0.6586802742373363,-0.8436738758027429,-0.054934414294152474,-0.45512398004964255,-0.2595774947403746
Sym,0.7053887770582632,0.3313004872192373,-0.6333044205633755,0.058820600744723305,-0.6266871897838795,-0.00027386318644145174
CS,0.7422170859133141,0.8366417100086878,0.5911896512689129,0.36589572334597614,0.8174468248932252,0.8614305764329484
SF,-0.9453075149248261,-0.8710090800703988,-0.5670674997967645,0.24758955904721305,-0.29059994192381206,-0.8383638535821883
SD,0.7402897930123055,0.718063247396454,0.13181743254410125,0.4265655142145608,-0.059821136018997835,0.7343032538397058
SDbw,0.746172295707343,0.8456039873842227,0.25285338894189247,0.9999999999999999,0.6185244758354296,0.4172901217595574
XB*,0.1488567432864,0.7432591719524673,0.3230396063202884,0.38977388491473086,0.3091866715664484,0.6217389389248517
S,0.2919504164184124,-0.3191919443829802,-0.5695513810337715,-0.15401755036783374,-0.7383387205011469,0.5683618914749331
DB,0.7053856345731861,0.8938651011494942,0.4845978997534497,0.32353330902125427,0.7742465449806765,0.8566127293988286
CH,0.890538769624425,0.934537022971219,0.8091017909230265,0.18885743441067546,0.9420480423497813,0.8697589165406305
AD-S,-0.8775772921256455,-0.9308777715426021,-0.8077608891786363,-0.41284498911050854,-0.9005294021074405,-0.8575126448867064
AD-DB,0.8447926338619747,0.8874267720245658,0.8712597455816612,0.32020148896218753,0.8754592622518241,0.9038993876520067
AD-CH,0.7594326599360366,0.8504441622847903,0.6973678177566965,0.2887730753472567,0.8764857411523453,0.48786602064192996
AD-idea,0.022733742381911285,-0.5780607392222206,-0.20568449792100177,-0.5509823623155518,-0.6825172697290397,0.6302622605955154
