,ecoli,glass,ionosphere,sonar,wdbc,wine
cSIL,,,,,,
GD43,,,,,,
GD53,,,,,,
PS,,,,,,
rCIP,,,,,,
WB,,,,,,
XB,,,,,,
SSE,0.4257776491774773,0.09478255406615897,0.7544995248627394,-0.6097345489494785,-0.5609122713402446,0.08753067805766533
RS,,,,,,
DH,-0.34507300481139525,-0.19287319853802984,0.90377129416535,-0.7123278560248787,0.5757562468107638,0.7251889310413749
B,0.15727833861758025,0.24155352389328097,0.9093507728349737,-0.3985657988127001,0.5147222716415576,0.595415603298098
BH,0.3997613884957117,-0.17880215155753257,0.968892424843696,-0.6146342268149925,-0.7021793123340383,0.2374254135376209
D,0.32163429548706046,-0.4402613600353045,-0.12503765284714458,-0.19789899600887678,0.33770625405954335,-0.5661599006939653
H,,,,,,
DBCV,0.07828292040423261,-0.11224233301932698,0.5991911419701569,0.08366206930728587,-0.41723522712699407,-0.4302559801638014
I,-0.8926934078700384,-0.3867926358793237,-0.5964846912232031,-0.2787155175055562,0.44746271191342857,-0.32119835095772203
C,-0.6864625478027346,0.2591990636432196,-0.9751034091510911,0.48435927285247593,0.3671002176803693,-0.7791175012453828
VIASCKDE,0.6899566127340275,-0.12995612021047515,-0.6812546695649714,-0.2426940391681237,0.5194686179942483,0.35873191795242915
COP,0.6354055269930553,0.14659520725852757,-0.07405168927650058,-0.7704993323628764,-0.7239900560422697,-0.3470440731996934
Sym,0.2803267437373326,-0.25368635315508803,0.7409822097672601,-0.711138657255675,-0.4256708316334193,0.6363768969671858
CS,-0.3034799683965619,-0.19650068801987136,0.9315912007570926,-0.662474766936044,0.8441369681380899,0.86104035315498
SF,-0.13712388102425963,-0.49744097308678414,-0.04744120234129597,-0.5535191751887962,0.6603745119888281,-0.07712624349864175
SD,-0.01744813644976525,-0.12266435406273696,0.9518049208621808,-0.6456914379230552,-0.49153371296926346,0.9359818372386723
SDbw,-0.25165750844211365,-0.17005460148097248,0.9349666553497207,,0.16865255383793193,0.69618328851696
XB*,0.17858465558488545,0.4579442197925601,-0.290417643910627,0.7189291003692738,0.5152461973361068,0.47990274137658934
S,0.5563603704138604,-0.18704978991279028,0.8871120275756194,-0.3571577552382291,-0.2843067107946118,0.7791788795498038
DB,-0.19510312470278873,-0.034072717324793146,0.9016962417943395,-0.6808847688888162,0.8030796939324352,0.9093076267311883
CH,-0.16619605612664312,-0.12522700121158692,0.7707110691661461,-0.4957849418404756,0.787473798055792,0.9065576777033449
AD-S,0.4192273333916887,-0.08006156562941633,0.7311458056095671,-0.3220957487570012,-0.754726903550139,-0.02081592882207255
AD-DB,-0.19486749648487897,0.33147676118338476,-0.5821540217101232,0.13590770400045668,0.7078338786280997,0.8290076883372605
AD-CH,-0.46684657836785204,-0.23895950100217864,0.9087472273117057,-0.555305705119928,0.8524671844928199,0.7378247274993618
AD-idea,0.3667268484767001,0.5559529947519396,-0.40800336615870914,0.727863918809285,-0.4464256073732273,-0.5043709633976499
