,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.919,0.679,0.679,0.697,0.733,-0.078,2.211s
GD43 (↑),18.732,1.140,1.140,1.181,1.363,0.002,0.056s
GD53 (↑),0.355,0.494*,0.494*,0.483*,0.493*,0.426*,0.056s
PS (↑),3.636,1.834,1.834,1.958,1.822,-3.869,0.056s
rCIP (↓),8.193,0.054*,0.054*,0.024*,0.014*,320.128,0.078s
WB (↓),0.317,3.791,3.791,3.475,2.923,7743.711,0.062s
XB (↓),0.129,0.472,0.472,0.434,0.363,63521.944,0.047s
SSE (↓),28.638,2979.647,2979.647,2888.845,2702.421,4522.274,0.000s
RS (↑),0.685,-0.310,-0.310,-0.270,-0.189,-48.676,0.004s
DH (↓),0.076,0.646,0.646,0.631,0.598,0.993,1.004s
B (↓),0.006,0.939,0.939,0.869,0.723,150.852,0.003s
BH (↓),0.573,1489.824,1489.824,1444.422,1351.210,90.445,0.003s
D (↑),0.179,0.195*,0.195*,0.229*,0.278*,0.002,0.122s
H (↓),4.067,0.641*,0.641*,0.606*,0.533*,49.973,0.003s
DBCV (↑),-0.158,-0.981,-0.981,-0.929,-0.926,-0.992,12.958s
I (↑),0.353,0.348,0.348,0.365*,0.442*,0.000,0.006s
C (↓),0.003,0.228,0.228,0.214,0.182,0.472,3.020s
CDbw (↑),0.131,0.003,0.003,0.003,0.004,0.006,6.510s
VIASCKDE (↑),0.707,0.821*,0.821*,0.826*,0.838*,-0.619,2.829s
COP (↓),0.080,0.311,0.311,0.361,0.314,0.441,0.164s
Sym (↑),0.008,0.001,0.001,0.004,0.004,0.000,17.142s
CS (↓),0.858,1.872,1.872,1.663,1.527,121.688,0.186s
SF (↑),0.064,0.297*,0.297*,0.298*,0.312*,0.000,0.020s
SD (↓),3706097.926,384716544.408,384716544.408,440498550.875,411468988.953,585081892.840,1.786s
SDbw (↓),0.030,1.544,1.544,1.819,1.646,2.665,0.072s
XB* (↓),0.155,0.478,0.478,0.450,0.368,68448.747,0.018s
S (↑),0.594,0.334,0.334,0.352,0.386,-0.069,1.214s
DB (↓),0.524,1.252,1.252,1.222,1.111,152.901,0.005s
CH (↑),24011.711,3955.353,3955.353,4315.356,5130.291,0.982,0.005s
