,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.763,0.669,0.714,0.716,0.652,-0.051,0.100s
GD43 (↑),2.386,1.441,1.753,1.878,1.460,0.005,0.007s
GD53 (↑),0.098,0.442*,0.465*,0.494*,0.469*,0.461*,0.007s
PS (↑),3.788,1.754,1.903,1.948,1.948,1.247,0.007s
rCIP (↓),18.399,0.105*,0.081*,0.095*,0.100*,58.962,0.009s
WB (↓),1.608,4.016,3.210,3.171,4.261,4426.284,0.007s
XB (↓),0.389,0.495,0.401,0.396,0.533,32644.253,0.007s
SSE (↓),137.872,950.599,877.306,873.194,969.077,1419.160,0.001s
RS (↑),-0.461,-0.312*,-0.229*,-0.226*,-0.362*,-13.957,0.001s
DH (↓),0.268,0.654,0.619,0.623,0.667,0.997,0.311s
B (↓),0.100,0.977,0.801,0.793,1.065,279.661,0.001s
BH (↓),9.191,475.299,438.653,436.597,484.538,94.611,0.001s
D (↑),0.014,0.171*,0.160*,0.160*,0.156*,0.001,0.020s
H (↓),3.416,0.651*,0.571*,0.568*,0.695*,14.989,0.001s
DBCV (↑),-0.969,-0.993,-0.978,-0.998,-0.998,-0.999,22.935s
I (↑),0.113,0.150*,0.188*,0.187*,0.142*,0.000,0.001s
C (↓),0.061,0.246,0.205,0.208,0.249,0.470,0.997s
CDbw (↑),0.074,0.004,0.009,0.003,0.009,0.016,1.403s
VIASCKDE (↑),0.340,0.697*,0.705*,0.695*,0.687*,-0.429,0.898s
COP (↓),0.155,0.236,0.263,0.224,0.267,0.384,0.044s
Sym (↑),0.005,0.005,0.005,0.006*,0.005,0.000,0.011s
CS (↓),1.983,2.029,2.040,1.996,2.207,111.512,0.032s
SF (↑),0.139,0.378*,0.390*,0.388*,0.376*,0.001,0.004s
SD (↓),621483444.486,4058787397.625,3821424452.871,4190124457.029,4909332799.077,6198230078.859,1.133s
SDbw (↓),0.469,1.833,1.710,1.782,2.032,2.894,0.010s
XB* (↓),0.787,0.560*,0.431*,0.401*,0.568*,33963.419,0.004s
S (↑),0.321,0.321,0.360*,0.354*,0.316,-0.044,0.439s
DB (↓),0.886,1.276,1.149,1.154,1.322,135.251,0.002s
CH (↑),3321.509,2488.863,3114.332,3152.535,2346.105,1.207,0.001s
ED-S (↑),0.222,-0.020,-0.003,-0.049,0.009,-0.143,153.967s
ED-DB (↓),1.714,1.848,2.081,2.130,2.296,10.171,16.057s
ED-CH (↑),549.784,4998.385*,4716.505*,4360.262*,4178.427*,160.606,16.274s
MST-S (↑),0.264,0.011,0.033,0.008,0.040,-0.015,0.991s
MST-DB (↓),1.847,1.886,2.260,2.259,2.255,5.643,1.040s
MST-CH (↑),454.804,4353.794*,4273.604*,4191.091*,4000.560*,210.264,1.789s
idea (↑),0.676,0.391,0.210,0.240,0.287,0.009,1.652s
