,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.989,0.060,0.989,0.989,0.989,0.000,0.002s
GD43 (↑),24.194,0.142,24.194,24.194,24.194,0.005,0.001s
GD53 (↑),0.489,0.499*,0.489,0.489,0.489,0.499*,0.000s
PS (↑),1.958,1.629,1.958,1.958,1.958,1.907,0.001s
rCIP (↓),0.000,0.153,0.000,0.000,0.000,0.689,0.001s
WB (↓),0.093,131.776,0.093,0.093,0.093,102835.744,0.001s
XB (↓),0.012,15.808,0.012,0.012,0.012,12843.593,0.000s
SSE (↓),50.735,1125.360,50.735,50.735,50.735,1142.417,0.000s
RS (↑),0.911,-0.970,0.911,0.911,0.911,-1.000,0.000s
DH (↓),0.135,0.945,0.135,0.135,0.135,1.000,0.016s
B (↓),0.023,30.432,0.023,0.023,0.023,25701.071,0.000s
BH (↓),25.367,562.680,25.367,25.367,25.367,571.209,0.000s
D (↑),1.700,0.200,1.700,1.609,1.609,0.190,0.002s
H (↓),0.023,1.881,0.023,0.023,0.023,2.000,0.000s
DBCV (↑),0.988,-0.998,0.988,0.988,0.988,-0.998,12.355s
I (↑),20.295,0.013,20.295,20.295,20.295,0.000,0.000s
C (↓),0.000,0.483,0.000,0.000,0.000,0.500,0.056s
CDbw (↑),0.265,0.009,0.265,0.256,0.256,0.015,0.382s
VIASCKDE (↑),0.819,0.639,0.819,0.819,0.819,-0.002,0.074s
COP (↓),0.194,0.409,0.194,0.194,0.194,0.413,0.011s
Sym (↑),0.203,0.005,0.203,0.203,0.203,0.000,0.003s
CS (↓),0.328,9.529,0.328,0.328,0.328,272.473,0.004s
SF (↑),0.646,0.161,0.646,0.646,0.646,0.158,0.001s
SD (↓),1272.620,28243.711,1272.620,1272.620,1272.620,61107.589,0.088s
SDbw (↓),0.044,2.576,0.044,0.044,0.044,2.811,0.002s
XB* (↓),0.012,15.825,0.012,0.012,0.012,12864.027,0.001s
S (↑),0.864,0.052,0.864,0.864,0.864,-0.001,0.029s
DB (↓),0.195,7.855,0.195,0.195,0.195,224.111,0.001s
CH (↑),31028.663,21.886,31028.663,31028.663,31028.663,0.028,0.000s
ED-S (↑),0.977,-0.177,0.977,0.977,0.977,-0.203,3.745s
ED-DB (↓),0.048,1.038,0.048,0.045*,0.045*,1.067,1.378s
ED-CH (↑),25535.694,1106.047,25535.694,25535.694,25535.694,1311.812,1.338s
MST-S (↑),0.982,0.025,0.982,0.982,0.982,0.001,0.128s
MST-DB (↓),0.036,1.031,0.036,0.036,0.036,1.059,0.114s
MST-CH (↑),43036.796,1112.201,43036.796,43036.796,43036.796,1321.073,0.172s
idea (↑),26.260,1.834,26.260,26.260,26.260,0.687,0.209s
