,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.961,0.162,0.961,0.953,0.958,0.001,0.002s
GD43 (↑),9.596,0.333,9.527,6.964,8.937,0.020,0.001s
GD53 (↑),0.492,0.499*,0.489,0.422,0.484,0.491,0.000s
PS (↑),1.949,1.587,1.947,1.903,1.945,1.887,0.001s
rCIP (↓),0.000,0.171,0.000,0.000,0.000,0.693,0.001s
WB (↓),0.328,43.745,0.329,0.394,0.348,10992.352,0.001s
XB (↓),0.041,5.175,0.041,0.049,0.044,1371.869,0.001s
SSE (↓),117.459,796.374,117.647,137.088,123.517,832.632,0.000s
RS (↑),0.718,-0.913,0.718,0.673,0.703,-1.001,0.000s
DH (↓),0.250,0.905,0.250,0.263,0.254,0.999,0.028s
B (↓),0.082,9.833,0.082,0.098,0.087,2742.393,0.000s
BH (↓),58.730,398.187,58.824,68.544,61.759,416.316,0.000s
D (↑),0.674,0.100,0.431,0.362,0.278,0.089,0.003s
H (↓),0.079,1.676,0.079,0.093,0.083,1.999,0.000s
DBCV (↑),0.808,-0.991,0.685,-0.911,-0.832,-0.990,16.809s
I (↑),3.208,0.022,3.204,2.921,3.118,0.000,0.000s
C (↓),0.002,0.463,0.002,0.017,0.007,0.500,0.157s
CDbw (↑),0.037,0.010,0.015,0.011,0.019,0.017,0.412s
VIASCKDE (↑),0.781,0.659,0.778,0.765,0.770,-0.000,0.111s
COP (↓),0.205,0.349,0.205,0.206,0.162*,0.358,0.014s
Sym (↑),0.065,0.006,0.065,0.031,0.047,0.000,0.003s
CS (↓),0.642,6.198,0.662,0.895,0.915,100.029,0.006s
SF (↑),0.538,0.247,0.538,0.531,0.536,0.238,0.001s
SD (↓),12844.085,87136.184,12863.844,15040.495,13524.097,97151.107,0.141s
SDbw (↓),0.303,2.457,0.304,0.353,0.320,2.896,0.002s
XB* (↓),0.042,5.187,0.042,0.058,0.045,1396.584,0.001s
S (↑),0.744,0.092,0.744,0.725,0.738,-0.000,0.071s
DB (↓),0.363,4.379,0.363,0.380,0.368,71.497,0.001s
CH (↑),11162.922,83.803,11142.139,9302.104,10525.513,0.334,0.000s
ED-S (↑),0.947,-0.032,0.947,0.928,0.941,-0.129,5.977s
ED-DB (↓),0.112,3.539,0.113,0.115,0.108*,3.178,2.168s
ED-CH (↑),8688.953,403.085,8621.243,7431.218,8037.766,481.475,2.513s
AD-S (↑),0.905,0.009,0.905,0.886,0.898,0.013,0.167s
AD-DB (↓),0.190,3.372,0.189*,0.207,0.197,3.364,0.168s
AD-CH (↑),13405.739,418.738,13513.385*,12396.581,12935.607,568.268,0.257s
AD-idea (↑),4.499,0.770,3.017,2.970,1.798,0.233,0.300s
