,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.084,0.686*,0.686*,0.701*,0.664*,-0.010,0.001s
GD43 (↑),0.232,1.316*,1.316*,1.257*,1.211*,0.064,0.001s
GD53 (↑),0.486,0.498*,0.498*,0.453,0.490*,0.461,0.000s
PS (↑),2.764,1.726,1.726,1.810,1.788,1.848,0.000s
rCIP (↓),0.969,0.055*,0.055*,0.060*,0.060*,0.980,0.001s
WB (↓),79.953,3.731*,3.731*,3.437*,4.093*,270.957,0.000s
XB (↓),9.677,0.458*,0.458*,0.427*,0.507*,115.647,0.001s
SSE (↓),144.645,97.700*,97.700*,94.866*,100.815*,148.429,0.000s
RS (↑),-1.892,-0.303*,-0.303*,-0.252*,-0.341*,-1.975,0.000s
DH (↓),0.949,0.645*,0.645*,0.634*,0.662*,0.985,0.001s
B (↓),17.907,0.905*,0.905*,0.853*,1.011*,58.020,0.000s
BH (↓),48.215,48.850,48.850,47.433*,50.407,49.476,0.001s
D (↑),0.067,0.264*,0.264*,0.256*,0.237*,0.089*,0.000s
H (↓),2.713,0.628*,0.628*,0.592*,0.672*,2.949,0.000s
DBCV (↑),0.512,-0.753,-0.753,-0.965,-0.867,-0.993,0.018s
I (↑),0.006,0.278*,0.278*,0.300*,0.254*,0.003,0.001s
C (↓),0.458,0.231*,0.231*,0.225*,0.247*,0.480,0.005s
CDbw (↑),0.020,0.018,0.018,0.006,0.019,0.007,0.010s
VIASCKDE (↑),0.436,0.436,0.436,0.389,0.428,-0.067,0.011s
COP (↓),0.346,0.288*,0.288*,0.253*,0.244*,0.310*,0.007s
Sym (↑),0.001,0.024*,0.024*,0.026*,0.022*,0.002*,0.002s
CS (↓),6.620,1.756*,1.756*,1.661*,1.861*,19.140,0.001s
SF (↑),0.132,0.328*,0.328*,0.334*,0.323*,0.136*,0.001s
SD (↓),208856.287,140029.745*,140029.745*,149805.189*,165589.513*,215675.859,0.009s
SDbw (↓),3.635,1.863*,1.863*,1.999*,1.980*,2.753*,0.001s
XB* (↓),9.862,0.460*,0.460*,0.471*,0.517*,122.254,0.000s
S (↑),0.001,0.335*,0.335*,0.341*,0.318*,-0.021,0.002s
DB (↓),5.872,1.219*,1.219*,1.170*,1.276*,16.371,0.002s
CH (↑),5.797,166.179*,166.179*,180.403*,151.466*,1.711,0.001s
