,gt,rl,time
cSIL (↑),0.083,-0.069,0.005s
GD43 (↑),0.035,0.033,0.001s
GD53 (↑),0.081,0.397*,0.001s
PS (↑),-0.611,3.097*,0.001s
rCIP (↓),3.251,2.257*,0.007s
WB (↓),10.224,608.263,0.001s
XB (↓),45.477,165.955,0.001s
SSE (↓),143.974,226.239,0.000s
RS (↑),-3.372,-4.945,0.001s
DH (↓),0.691,0.983,0.002s
B (↓),0.945,88.218,0.001s
BH (↓),23.996,37.706,0.000s
D (↑),0.079,0.077,0.001s
H (↓),4.411,5.935,0.001s
DBCV (↑),-0.768,-0.969,0.011s
I (↑),0.134,0.002,0.001s
C (↓),0.279,0.455,0.002s
CDbw (↑),nan,0.007,0.636s
VIASCKDE (↑),0.089,-0.065,0.005s
COP (↓),0.308,0.336,0.003s
Sym (↑),0.002,0.000,0.002s
CS (↓),3.949,26.084,0.001s
SF (↑),0.012,0.004,0.001s
SD (↓),11377.001,16598.733,0.004s
SDbw (↓),1.278,2.724,0.003s
XB* (↓),117.764,190.603,0.001s
S (↑),-0.050,-0.057,0.002s
DB (↓),4.380,18.244,0.001s
CH (↑),24.297,0.408,0.000s
