,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.234,0.533*,0.533*,0.718*,0.763*,-0.025,0.002s
GD43 (↑),0.115,0.818*,0.818*,1.376*,1.561*,0.012,0.001s
GD53 (↑),0.008,0.489*,0.489*,0.487*,0.468*,0.441*,0.000s
PS (↑),-0.270,1.950*,1.950*,1.937*,1.911*,1.184*,0.000s
rCIP (↓),1.407,0.114*,0.114*,0.021*,0.008*,1.861,0.002s
WB (↓),14.282,7.019*,7.019*,3.136*,2.481*,380.957,0.001s
XB (↓),19.593,0.877*,0.877*,0.392*,0.310*,2860.027,0.001s
SSE (↓),122.873,122.408*,122.408*,96.036*,87.089*,155.652,0.000s
RS (↑),-1.330,-0.556*,-0.556*,-0.221*,-0.105*,-2.964,0.001s
DH (↓),0.574,0.728,0.728,0.601,0.555*,0.987,0.002s
B (↓),1.854,1.766*,1.766*,0.789*,0.624*,76.209,0.001s
BH (↓),30.718,61.204,61.204,48.018,43.545,38.913,0.000s
D (↑),0.010,0.123*,0.123*,0.226*,0.249*,0.002,0.001s
H (↓),2.003,0.934*,0.934*,0.563*,0.472*,3.960,0.000s
DBCV (↑),-0.180,-0.992,-0.992,-0.905,-0.893,-0.984,0.020s
I (↑),0.145,0.159*,0.159*,0.341*,0.472*,0.002,0.000s
C (↓),0.442,0.314*,0.314*,0.203*,0.159*,0.497,0.006s
CDbw (↑),0.430,0.015,0.015,0.025,0.010,0.009,0.012s
VIASCKDE (↑),0.557,0.423,0.423,0.479,0.471,-0.172,0.007s
COP (↓),0.208,0.227,0.227,0.225,0.211,0.259,0.005s
Sym (↑),0.023,0.009,0.009,0.021,0.038*,0.002,0.003s
CS (↓),3.198,2.697*,2.697*,1.654*,1.497*,33.672,0.001s
SF (↑),0.183,0.282*,0.282*,0.321*,0.351*,0.064,0.001s
SD (↓),659813.056,869679.542,869679.542,805635.745,743493.949,1135517.168,0.014s
SDbw (↓),1.677,2.062,2.062,1.768,1.749,2.733,0.002s
XB* (↓),30.122,0.897*,0.897*,0.402*,0.331*,3086.376,0.001s
S (↑),0.066,0.256*,0.256*,0.379*,0.427*,-0.040,0.004s
DB (↓),5.806,1.704*,1.704*,1.164*,0.989*,57.649,0.002s
CH (↑),27.634,84.910*,84.910*,190.060*,240.198*,1.036,0.000s
