,gt,rl,time
cSIL (↑),0.510,-0.070,0.010s
GD43 (↑),0.150,0.045,0.001s
GD53 (↑),0.063,0.349*,0.002s
PS (↑),-2.475,2.568*,0.001s
rCIP (↓),7.402,13.912,0.007s
WB (↓),4.724,274.727,0.001s
XB (↓),1.684,100.295,0.004s
SSE (↓),111.646,292.223,0.001s
RS (↑),-3.126,-6.757,0.000s
DH (↓),0.442,0.969,0.002s
B (↓),0.186,28.514,0.001s
BH (↓),13.956,36.528,0.000s
D (↑),0.083,0.036,0.001s
H (↓),3.409,7.776,0.001s
DBCV (↑),-0.636,-0.943,0.011s
I (↑),0.299,0.004,0.001s
C (↓),0.101,0.450,0.003s
CDbw (↑),nan,nan,0.000s
VIASCKDE (↑),0.035,-0.038,0.009s
COP (↓),0.306,0.418,0.004s
Sym (↑),0.004,0.000,0.003s
CS (↓),2.131,16.221,0.001s
SF (↑),0.010,0.001,0.003s
SD (↓),2277.330,3710.158,0.018s
SDbw (↓),inf,2.316*,0.006s
XB* (↓),7.515,119.306,0.001s
S (↑),0.240,-0.104,0.004s
DB (↓),1.596,13.573,0.003s
CH (↑),79.358,1.364,0.001s
