,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.786,0.850*,0.539,0.756,0.785,0.003,0.008s
GD43 (↑),1.660,2.271*,0.758,1.471,1.595,0.036,0.001s
GD53 (↑),0.497,0.487,0.489,0.498*,0.479,0.490,0.001s
PS (↑),1.963,1.924,1.920,1.955,1.928,1.955,0.001s
rCIP (↓),0.065,0.009*,0.019*,0.051*,0.030*,0.282,0.001s
WB (↓),2.183,1.412*,6.834,2.587,2.196,2353.730,0.001s
XB (↓),0.273,0.176*,0.854,0.323,0.274,294.212,0.001s
SSE (↓),328.473,260.463*,486.886,354.933,329.354,628.833,0.001s
RS (↑),-0.044,0.173*,-0.546,-0.128,-0.046,-0.998,0.000s
DH (↓),0.550,0.471*,0.716,0.581,0.536*,0.998,0.061s
B (↓),0.547,0.353*,1.710,0.648,0.550,589.593,0.001s
BH (↓),164.236,130.231*,243.443,177.467,164.677,314.417,0.000s
D (↑),0.083,0.422*,0.218*,0.294*,0.266*,0.109*,0.003s
H (↓),0.429,0.300*,0.921,0.489,0.430,1.993,0.001s
DBCV (↑),0.899,-0.958,-0.981,-0.992,-0.989,-0.995,25.703s
I (↑),0.575,0.881*,0.203,0.496,0.630*,0.001,0.001s
C (↓),0.163,0.082*,0.308,0.192,0.150*,0.500,0.190s
CDbw (↑),0.070,0.009,0.005,0.004,0.003,0.004,0.423s
VIASCKDE (↑),0.768,0.757,0.730,0.738,0.734,-0.010,0.099s
COP (↓),0.521,0.474*,0.449*,0.477*,0.379*,0.532,0.036s
Sym (↑),0.004,0.010*,0.006*,0.006*,0.005*,0.001,0.014s
CS (↓),1.278,1.034*,2.241,1.402,1.394,38.709,0.013s
SF (↑),0.323,0.364*,0.261,0.311,0.336*,0.198,0.038s
SD (↓),3578621.234,2793484.291*,5221822.992,4236097.731,3909743.079,6769141.163,0.165s
SDbw (↓),1.290,1.091*,2.137,1.490,1.294,2.892,0.002s
XB* (↓),0.275,0.181*,0.873,0.325,0.286,300.510,0.001s
S (↑),0.398,0.500*,0.273,0.374,0.428*,0.000,0.063s
DB (↓),0.996,0.805*,1.677,1.073,0.951*,32.651,0.001s
CH (↑),914.210,1413.509*,292.052,771.653,909.093,0.848,0.001s
MST-S (↑),0.878,-0.538,0.332,-0.265,-0.553,0.046,0.204s
MST-DB (↓),0.244,1.769,0.791,1.463,1.730,1.079,0.151s
MST-CH (↑),4662.865,690.686,1360.661,770.236,705.419,921.412,0.244s
