,gt,rl,time
cSIL (↑),0.685,0.024,0.002s
GD43 (↑),0.496,0.060,0.001s
GD53 (↑),0.293,0.468*,0.001s
PS (↑),2.166,2.219*,0.000s
rCIP (↓),0.000,0.003,0.003s
WB (↓),3.289,164.611,0.001s
XB (↓),0.510,29.685,0.000s
SSE (↓),199.994,375.554,0.001s
RS (↑),-0.524,-1.952,0.000s
DH (↓),0.615,0.978,0.001s
B (↓),0.690,35.553,0.001s
BH (↓),66.665,125.185,0.000s
D (↑),0.281,0.220,0.001s
H (↓),0.926,2.892,0.000s
DBCV (↑),-0.365,-0.711,0.011s
I (↑),1.086,0.022,0.001s
C (↓),0.117,0.505,0.002s
CDbw (↑),0.001,0.000,567.159s
VIASCKDE (↑),0.036,-0.010,0.016s
COP (↓),0.401,0.460,0.005s
Sym (↑),0.005,0.001,0.007s
CS (↓),1.507,11.037,0.001s
SF (↑),0.069,0.014,0.002s
SD (↓),12.139,56.814,0.012s
SDbw (↓),0.550,inf,0.005s
XB* (↓),0.678,31.115,0.001s
S (↑),0.292,-0.022,0.006s
DB (↓),1.324,10.286,0.004s
CH (↑),79.804,1.595,0.001s
