,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),-0.315,0.667*,0.607*,0.612*,0.659*,-0.047*,0.002s
GD43 (↑),0.004,1.833*,1.824*,1.772*,1.861*,0.029*,0.001s
GD53 (↑),0.051,0.408*,0.482*,0.462*,0.427*,0.456*,0.001s
PS (↑),0.073,1.247*,1.835*,1.485*,1.292*,2.210*,0.000s
rCIP (↓),2.299,0.191*,0.452*,0.402*,0.260*,3.195,0.001s
WB (↓),828.518,5.291*,5.193*,5.501*,5.219*,7745.978,0.001s
XB (↓),14372.941,0.455*,0.646*,0.620*,0.486*,1769.216*,0.000s
SSE (↓),156.510,113.988*,113.404*,115.196*,113.562*,157.016,0.000s
RS (↑),-3.688,-0.569*,-0.447*,-0.496*,-0.529*,-1.991*,0.000s
DH (↓),0.914,0.628*,0.721*,0.712*,0.652*,0.998,0.008s
B (↓),23.667,0.696*,1.289*,1.130*,0.776*,1780.603,0.000s
BH (↓),52.170,56.994,56.702,57.598,56.781,52.339,0.000s
D (↑),0.005,0.127*,0.131*,0.127*,0.125*,0.029*,0.001s
H (↓),2.969,0.657*,0.786*,0.774*,0.677*,2.998,0.000s
DBCV (↑),0.755,-0.994,-0.998,-0.999,-0.998,-0.999,9.436s
I (↑),0.002,0.079*,0.051*,0.054*,0.072*,0.000,0.001s
C (↓),0.327,0.188*,0.316*,0.293*,0.216*,0.513,0.034s
CDbw (↑),0.271,0.001,0.004,0.005,0.005,0.027,0.060s
VIASCKDE (↑),0.746,0.755*,0.719,0.709,0.720,-0.167,0.047s
COP (↓),0.640,0.246*,0.251*,0.251*,0.243*,0.356*,0.012s
Sym (↑),0.005,0.007*,0.007*,0.007*,0.008*,0.001,0.003s
CS (↓),24.052,2.513*,2.778*,2.811*,2.396*,125.967,0.003s
SF (↑),0.256,0.430*,0.435*,0.431*,0.430*,0.318*,0.001s
SD (↓),824407233.840,412971123.663*,380873594.771*,428335794.689*,447729697.283*,524975372.174*,0.073s
SDbw (↓),5.831,1.809*,1.860*,1.873*,1.898*,2.964*,0.002s
XB* (↓),41252.374,0.559*,0.671*,0.671*,0.570*,1879.116*,0.001s
S (↑),0.244,0.392*,0.255*,0.272*,0.359*,-0.018,0.017s
DB (↓),130.600,1.222*,1.423*,1.409*,1.265*,68.386*,0.001s
CH (↑),1.896,396.165*,403.599*,381.018*,401.579*,0.203,0.001s
MST-S (↑),0.799,0.432,0.057,0.238,0.377,-0.061,0.089s
MST-DB (↓),1.651,1.261*,1.496*,1.375*,0.985*,14.695,0.070s
MST-CH (↑),1548.550,530.980,748.051,638.273,656.223,53.865,0.092s
