,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.924,0.669,0.745,0.741,0.735,-0.015,0.044s
GD43 (↑),3.173,1.018,1.321,1.283,1.326,0.006,0.010s
GD53 (↑),0.163,0.465*,0.447*,0.442*,0.459*,0.488*,0.008s
PS (↑),3.213,1.393,1.790,1.725,1.791,2.297,0.010s
rCIP (↓),0.002,0.025,0.035,0.011,0.003,1.694,0.010s
WB (↓),0.537,4.902,2.782,2.874,2.875,16853.805,0.007s
XB (↓),0.096,0.515,0.345,0.353,0.356,11382.562,0.006s
SSE (↓),675.478,4054.389,3320.797,3365.997,3366.452,5707.126,0.001s
RS (↑),0.527,-0.350,-0.149,-0.155,-0.188,-2.999,0.003s
DH (↓),0.261,0.610,0.568,0.567,0.557,1.000,7.031s
B (↓),0.101,0.889,0.683,0.693,0.706,3166.631,0.010s
BH (↓),168.869,2027.195,1660.398,1682.998,1683.226,1426.782,0.006s
D (↑),0.332,0.305,0.384*,0.400*,0.320,0.125,0.775s
H (↓),0.292,0.655,0.506,0.511,0.528,3.999,0.062s
DBCV (↑),0.832,-0.997,-0.998,-0.999,-0.999,-1.000,63.923s
I (↑),1.461,0.322,0.471,0.431,0.446,0.000,0.002s
C (↓),0.020,0.225,0.175,0.173,0.152,0.537,10.593s
CDbw (↑),0.476,0.022,0.002,0.003,0.011,0.002,0.369s
VIASCKDE (↑),0.740,0.735,0.720,0.722,0.726,-0.218,3.645s
COP (↓),0.199,0.299,0.366,0.340,0.336,0.383,0.126s
Sym (↑),0.005,0.000,0.001,0.001,0.001,0.000,0.044s
CS (↓),0.779,1.828,1.405,1.466,1.583,154.441,0.436s
SF (↑),0.370,0.306,0.327,0.315,0.317,0.051,0.006s
SD (↓),239185650.517,1366379224.407,1127580068.942,1327820414.490,1409774410.559,1927487714.122,9.639s
SDbw (↓),0.327,1.215,1.094,1.249,1.226,2.862,0.023s
XB* (↓),0.188,0.554,0.386,0.399,0.388,11536.777,0.009s
S (↑),0.646,0.352,0.403,0.410,0.436,-0.008,5.004s
DB (↓),0.485,1.230,1.066,1.114,1.112,148.408,0.007s
CH (↑),24826.832,4078.940,7188.656,6957.868,6955.574,0.791,0.003s
MST-S (↑),0.925,0.579,0.407,0.392,0.505,0.000,6.681s
MST-DB (↓),0.148,0.878,0.878,1.161,1.101,46.369,7.287s
MST-CH (↑),42904.344,6038.035,16133.031,8010.977,13875.832,193.137,14.700s
