,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.949,0.702,0.659,0.721,0.693,-0.066,0.060s
GD43 (↑),15.389,1.271,1.011,1.348,1.184,0.003,0.005s
GD53 (↑),0.263,0.483*,0.434*,0.477*,0.460*,0.445*,0.005s
PS (↑),3.191,1.729,1.842,1.908,1.902,1.930,0.004s
rCIP (↓),0.025,0.050,0.059,0.021*,0.039,31.343,0.005s
WB (↓),0.241,3.478,4.123,3.098,3.548,4107.142,0.005s
XB (↓),0.063,0.427,0.513,0.387,0.443,51250.356,0.005s
SSE (↓),42.059,1689.750,1792.084,1617.328,1701.973,2651.780,0.001s
RS (↑),0.763,-0.263,-0.332,-0.214,-0.275,-13.956,0.001s
DH (↓),0.110,0.627,0.647,0.605,0.634,0.997,0.258s
B (↓),0.015,0.840,1.022,0.774,0.885,257.561,0.002s
BH (↓),2.804,844.875,896.042,808.664,850.987,176.785,0.001s
D (↑),0.236,0.229,0.199,0.261*,0.197,0.005,0.020s
H (↓),0.764,0.596*,0.669*,0.557*,0.612*,14.985,0.002s
DBCV (↑),0.100,-0.990,-1.000,-0.991,-0.972,-1.000,107.238s
I (↑),1.541,0.328,0.280,0.365,0.305,0.000,0.001s
C (↓),0.002,0.214,0.237,0.190,0.219,0.506,0.802s
CDbw (↑),0.205,0.008,0.005,0.003,0.004,0.009,6.383s
VIASCKDE (↑),0.778,0.771,0.763,0.782*,0.778,-0.476,0.632s
COP (↓),0.102,0.395,0.397,0.430,0.403,0.596,0.045s
Sym (↑),0.022,0.001,0.001,0.003,0.003,0.000,0.010s
CS (↓),0.815,1.654,2.003,1.609,1.692,83.717,0.039s
SF (↑),0.293,0.316*,0.310*,0.325*,0.309*,0.000,0.004s
SD (↓),35589075.262,1395376680.912,1477437331.257,1578017502.266,1628308700.335,2202940561.058,0.990s
SDbw (↓),0.047,1.471,1.415,1.632,1.620,2.820,0.010s
XB* (↓),0.089,0.442,0.592,0.406,0.482,54464.727,0.004s
S (↑),0.708,0.349,0.332,0.379,0.346,-0.044,0.497s
DB (↓),0.368,1.198,1.292,1.137,1.245,116.031,0.002s
CH (↑),22175.993,2874.169,2424.644,3226.677,2817.633,1.300,0.001s
ED-S (↑),0.733,0.376,0.187,0.231,0.289,-0.388,210.341s
ED-DB (↓),0.552,1.315,1.027,1.078,2.815,20.850,15.956s
ED-CH (↑),6063.353,3506.756,2392.689,2443.237,6178.975*,69.537,14.910s
MST-S (↑),0.723,0.173,0.015,0.126,0.022,-0.062,251.636s
MST-DB (↓),0.574,1.574,3.240,1.626,1.790,6.503,32.062s
MST-CH (↑),2200.103,4401.471*,2910.981*,4428.373*,4099.297*,179.762,27.406s
