,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.847,0.859*,0.859*,0.762,0.793,0.015,0.002s
GD43 (↑),2.094,2.421*,2.421*,1.550,1.530,0.085,0.001s
GD53 (↑),0.467,0.472*,0.472*,0.462,0.392,0.481*,0.001s
PS (↑),1.315,1.444*,1.444*,1.659*,1.420*,1.847*,0.000s
rCIP (↓),0.029,0.018*,0.018*,0.074,0.039,0.341,0.001s
WB (↓),2.001,1.543*,1.543*,2.540,2.238,506.171,0.000s
XB (↓),0.193,0.169*,0.169*,0.307,0.241,63.031,0.001s
SSE (↓),96.322,83.865*,83.865*,107.735,101.693,191.815,0.000s
RS (↑),0.065,0.157*,0.157*,-0.133,-0.135,-0.997,0.000s
DH (↓),0.476,0.459*,0.459*,0.572,0.529,0.994,0.002s
B (↓),0.315,0.303*,0.303*,0.598,0.425,126.261,0.000s
BH (↓),48.161,41.933*,41.933*,53.867,50.846,95.907,0.000s
D (↑),0.340,0.496*,0.496*,0.272,0.201,0.087,0.001s
H (↓),0.304,0.281*,0.281*,0.474,0.409,1.969,0.000s
DBCV (↑),0.219,-0.824,-0.824,-0.986,-0.969,-0.974,0.031s
I (↑),0.668,0.754*,0.754*,0.440,0.572,0.002,0.001s
C (↓),0.114,0.089*,0.089*,0.194,0.122,0.499,0.008s
CDbw (↑),0.097,0.015,0.015,0.018,0.013,0.008,0.009s
VIASCKDE (↑),0.611,0.615*,0.615*,0.591,0.605,-0.020,0.015s
COP (↓),0.266,0.266,0.266,0.292,0.237*,0.337,0.008s
Sym (↑),0.017,0.023*,0.023*,0.015,0.015,0.001,0.002s
CS (↓),1.034,0.979*,0.979*,1.524,1.358,19.660,0.002s
SF (↑),0.366,0.381*,0.381*,0.341,0.350,0.229,0.000s
SD (↓),28021.473,25025.907*,25025.907*,36635.282,36415.677,59038.540,0.018s
SDbw (↓),0.960,0.970,0.970,1.300,1.134,2.677,0.003s
XB* (↓),0.206,0.179*,0.179*,0.333,0.307,65.491,0.000s
S (↑),0.460,0.503*,0.503*,0.390,0.448,0.001,0.004s
DB (↓),0.789,0.763*,0.763*,1.020,0.906,14.904,0.001s
CH (↑),370.723,480.897*,480.897*,292.152,331.552,1.466,0.000s
