,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.908,0.717,0.717,0.736,0.686,-0.103,0.405s
GD43 (↑),12.698,1.225,1.225,1.289,1.199,0.002,0.014s
GD53 (↑),0.307,0.455*,0.455*,0.445*,0.492*,0.398*,0.018s
PS (↑),3.592,1.891,1.891,1.923,1.956,-2.416,0.015s
rCIP (↓),5.334,0.049*,0.049*,0.020*,0.031*,129.866,0.031s
WB (↓),0.362,3.162,3.162,2.851,3.658,3123.718,0.013s
XB (↓),0.127,0.395,0.395,0.356,0.457,78803.647,0.008s
SSE (↓),20.384,1081.476,1081.476,1037.705,1141.496,1748.246,0.001s
RS (↑),0.642,-0.220,-0.220,-0.172,-0.293,-29.697,0.001s
DH (↓),0.102,0.612,0.612,0.595,0.639,0.989,0.201s
B (↓),0.011,0.789,0.789,0.713,0.915,94.272,0.002s
BH (↓),0.658,540.738,540.738,518.852,570.748,56.395,0.000s
D (↑),0.108,0.215*,0.215*,0.256*,0.244*,0.002,0.028s
H (↓),2.837,0.563*,0.563*,0.523*,0.627*,30.968,0.002s
DBCV (↑),-0.157,-0.967,-0.967,-0.979,-0.964,-0.989,6.172s
I (↑),0.516,0.397,0.397,0.422,0.330,0.000,0.005s
C (↓),0.006,0.200,0.200,0.183,0.224,0.472,0.570s
CDbw (↑),0.319,0.008,0.008,0.003,0.005,0.008,0.644s
VIASCKDE (↑),0.650,0.802*,0.802*,0.776*,0.803*,-0.559,0.536s
COP (↓),0.087,0.271,0.271,0.257,0.275,0.325,0.069s
Sym (↑),0.016,0.002,0.002,0.006,0.005,0.000,0.012s
CS (↓),0.884,1.716,1.716,1.502,1.713,94.812,0.040s
SF (↑),0.105,0.320*,0.320*,0.322*,0.305*,0.000,0.011s
SD (↓),2371906.271,125259359.042,125259359.042,139196097.768,155911927.047,204258192.798,0.393s
SDbw (↓),0.058,1.508,1.508,1.648,1.884,2.540,0.019s
XB* (↓),0.173,0.434,0.434,0.400,0.465,88342.849,0.012s
S (↑),0.562,0.368,0.368,0.384,0.344,-0.092,0.218s
DB (↓),0.560,1.129,1.129,1.096,1.240,130.363,0.003s
CH (↑),8758.468,1959.732,1959.732,2173.070,1693.796,1.015,0.002s
