,d=2,d=5,d=10,d=20,d=50,d=100,d=200,d=500
cSIL,0.004,0.003,0.005,0.006,0.003,0.005,0.009,0.024
GD43,0.001,0.001,0.002,0.002,0.001,0.001,0.002,0.008
GD53,0.001,0.001,0.001,0.002,0.001,0.001,0.002,0.007
PS,0.002,0.001,0.001,0.002,0.001,0.001,0.001,0.003
rCIP,0.002,0.002,0.003,0.004,0.011,0.044,0.506,NaN
WB,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.008
XB,0.001,0.001,0.001,0.002,0.001,0.001,0.002,0.008
SSE,0.000,0.000,0.001,0.000,0.001,0.000,0.002,0.006
RS,0.000,0.000,0.000,0.001,0.000,0.001,0.001,0.006
DH,0.014,0.017,0.022,0.030,0.039,0.061,0.117,0.289
B,0.001,0.001,0.001,0.001,0.000,0.001,0.002,0.007
BH,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.005
D,0.002,0.002,0.003,0.004,0.005,0.010,0.020,0.053
H,0.001,0.000,0.001,0.001,0.001,0.001,0.001,0.005
DBCV,35.616,37.947,40.591,35.760,39.638,37.895,33.261,34.312
I,0.000,0.001,0.000,0.000,0.001,0.001,0.002,0.010
C,0.039,0.066,0.059,0.084,0.055,0.065,0.093,0.198
VIASCKDE,0.306,0.532,0.711,0.603,0.863,1.305,2.327,6.013
COP,0.010,0.029,0.017,0.018,0.010,0.012,0.013,0.016
Sym,0.002,0.018,0.063,0.102,0.235,0.498,0.902,2.246
CS,0.002,0.004,0.006,0.005,0.011,0.019,0.050,0.093
SF,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.005
SD,0.029,0.046,0.077,0.065,0.087,0.157,0.371,0.799
SDbw,0.001,0.003,0.005,0.005,0.010,0.015,0.035,0.094
XB*,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.006
S,0.017,0.020,0.025,0.020,0.020,0.020,0.028,0.027
DB,0.001,0.001,0.002,0.001,0.003,0.004,0.004,0.007
CH,0.000,0.000,0.001,0.001,0.001,0.001,0.001,0.006
AD-S,0.050,0.084,0.362,0.438,0.233,0.241,0.255,0.249
AD-DB,0.050,0.063,0.349,0.336,0.233,0.241,0.255,0.251
AD-CH,0.064,0.077,0.283,0.311,0.232,0.238,0.259,0.245
AD-idea,0.106,0.204,0.351,0.358,0.445,0.453,0.492,0.485
