,n=500,n=1000,n=2000,n=5000,n=10000,n=15000,n=20000
cSIL,0.001 ± 0.000,0.002 ± 0.000,0.004 ± 0.000,0.008 ± 0.000,0.017 ± 0.000,0.026 ± 0.000,0.031 ± 0.001
GD43,0.000 ± 0.001,0.001 ± 0.001,0.001 ± 0.000,0.002 ± 0.000,0.004 ± 0.000,0.007 ± 0.001,0.010 ± 0.002
GD53,0.001 ± 0.001,0.000 ± 0.001,0.001 ± 0.000,0.002 ± 0.001,0.004 ± 0.001,0.009 ± 0.002,0.010 ± 0.002
PS,0.000 ± 0.001,0.001 ± 0.001,0.001 ± 0.000,0.002 ± 0.001,0.004 ± 0.001,0.007 ± 0.002,0.008 ± 0.001
rCIP,0.001 ± 0.001,0.001 ± 0.001,0.001 ± 0.000,0.002 ± 0.001,0.006 ± 0.002,0.007 ± 0.001,0.009 ± 0.002
WB,0.000 ± 0.000,0.001 ± 0.001,0.001 ± 0.000,0.002 ± 0.001,0.004 ± 0.000,0.007 ± 0.000,0.008 ± 0.000
XB,0.000 ± 0.000,0.000 ± 0.001,0.001 ± 0.001,0.002 ± 0.001,0.004 ± 0.000,0.008 ± 0.002,0.008 ± 0.001
SSE,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.001,0.000 ± 0.001,0.001 ± 0.000,0.002 ± 0.000,0.002 ± 0.000
RS,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.001,0.001 ± 0.000,0.001 ± 0.000,0.002 ± 0.001,0.003 ± 0.001
DH,0.002 ± 0.001,0.008 ± 0.000,0.037 ± 0.005,0.208 ± 0.023,1.157 ± 0.083,1.911 ± 0.061,3.278 ± 0.428
B,0.000 ± 0.000,0.000 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,0.002 ± 0.000,0.003 ± 0.000,0.003 ± 0.000
BH,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.001,0.001 ± 0.001,0.001 ± 0.001,0.001 ± 0.000,0.001 ± 0.000
D,0.000 ± 0.001,0.001 ± 0.001,0.004 ± 0.001,0.015 ± 0.001,0.059 ± 0.004,0.129 ± 0.004,0.208 ± 0.002
H,0.000 ± 0.000,0.000 ± 0.001,0.001 ± 0.000,0.001 ± 0.001,0.002 ± 0.001,0.004 ± 0.001,0.004 ± 0.001
DBCV,4.580 ± 0.082,5.864 ± 0.285,6.497 ± 0.313,8.326 ± 0.459,14.104 ± 0.520,26.849 ± 1.872,50.311 ± 3.856
I,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.001 ± 0.000,0.002 ± 0.002,0.004 ± 0.003,0.006 ± 0.008
C,0.006 ± 0.000,0.031 ± 0.002,0.135 ± 0.017,0.920 ± 0.094,4.145 ± 0.361,8.499 ± 0.410,16.517 ± 0.803
CDbw,0.007 ± 0.002,0.008 ± 0.001,0.008 ± 0.001,0.013 ± 0.001,0.023 ± 0.001,0.041 ± 0.027,0.063 ± 0.029
VIASCKDE,0.080 ± 0.010,0.268 ± 0.027,0.902 ± 0.021,5.963 ± 0.270,23.994 ± 1.714,54.283 ± 1.365,99.118 ± 2.332
COP,0.005 ± 0.001,0.008 ± 0.000,0.017 ± 0.001,0.040 ± 0.001,0.075 ± 0.002,0.131 ± 0.010,0.246 ± 0.043
Sym,0.001 ± 0.000,0.002 ± 0.001,0.004 ± 0.001,0.010 ± 0.001,0.018 ± 0.000,0.044 ± 0.021,0.041 ± 0.003
CS,0.000 ± 0.001,0.001 ± 0.000,0.006 ± 0.000,0.030 ± 0.001,0.104 ± 0.004,0.284 ± 0.019,0.441 ± 0.029
SF,0.000 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,0.002 ± 0.000,0.005 ± 0.001,0.011 ± 0.008,0.012 ± 0.004
SD,0.014 ± 0.000,0.052 ± 0.004,0.169 ± 0.009,1.006 ± 0.038,3.804 ± 0.022,8.578 ± 0.301,14.767 ± 0.244
SDbw,0.001 ± 0.000,0.002 ± 0.001,0.002 ± 0.000,0.005 ± 0.000,0.010 ± 0.000,0.014 ± 0.001,0.019 ± 0.001
XB*,0.000 ± 0.001,0.001 ± 0.000,0.001 ± 0.000,0.002 ± 0.000,0.005 ± 0.001,0.007 ± 0.001,0.009 ± 0.001
S,0.004 ± 0.000,0.019 ± 0.001,0.049 ± 0.002,0.328 ± 0.004,1.285 ± 0.027,2.222 ± 0.012,3.829 ± 0.013
DB,0.001 ± 0.000,0.002 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,0.002 ± 0.000,0.004 ± 0.001,0.006 ± 0.007
CH,0.000 ± 0.000,0.001 ± 0.000,0.000 ± 0.001,0.001 ± 0.000,0.001 ± 0.000,0.002 ± 0.000,0.002 ± 0.001
AD-S,0.016 ± 0.001,0.040 ± 0.002,0.100 ± 0.005,0.868 ± 0.023,2.328 ± 0.024,4.883 ± 0.266,8.876 ± 0.822
AD-DB,0.017 ± 0.001,0.038 ± 0.002,0.101 ± 0.005,0.857 ± 0.022,2.482 ± 0.121,5.409 ± 0.403,8.657 ± 0.411
AD-CH,0.017 ± 0.003,0.045 ± 0.014,0.103 ± 0.003,0.900 ± 0.050,2.572 ± 0.014,4.822 ± 0.148,8.932 ± 0.452
AD-idea,0.028 ± 0.003,0.074 ± 0.007,0.172 ± 0.003,1.073 ± 0.031,3.385 ± 0.190,6.998 ± 0.115,12.331 ± 0.358
