,d=2,d=5,d=10,d=20,d=50,d=100,d=200,d=500
cSIL,0.000,0.001,0.001,0.001,0.000,0.001,0.000,0.001
GD43,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.001
GD53,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.001
PS,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
rCIP,0.001,0.000,0.001,0.000,0.001,0.024,0.077,NaN
WB,0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.001
XB,0.001,0.000,0.000,0.000,0.001,0.001,0.000,0.001
SSE,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.001
RS,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.001
DH,0.002,0.003,0.001,0.002,0.001,0.002,0.003,0.007
B,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.001
BH,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001
D,0.001,0.000,0.001,0.001,0.001,0.000,0.001,0.003
H,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.001
DBCV,1.897,3.115,1.398,2.290,2.062,8.462,0.645,0.446
I,0.000,0.001,0.001,0.000,0.000,0.001,0.000,0.000
C,0.001,0.010,0.003,0.023,0.005,0.002,0.005,0.018
VIASCKDE,0.017,0.068,0.017,0.078,0.093,0.053,0.102,0.311
COP,0.001,0.004,0.004,0.002,0.001,0.001,0.001,0.001
Sym,0.001,0.003,0.006,0.014,0.013,0.023,0.033,0.069
CS,0.000,0.001,0.001,0.000,0.000,0.001,0.012,0.004
SF,0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.000
SD,0.003,0.005,0.006,0.012,0.005,0.007,0.015,0.004
SDbw,0.000,0.001,0.001,0.001,0.001,0.001,0.001,0.004
XB*,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000
S,0.002,0.003,0.002,0.002,0.001,0.001,0.006,0.001
DB,0.000,0.000,0.001,0.000,0.001,0.001,0.001,0.002
CH,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.001
AD-S,0.007,0.046,0.016,0.276,0.006,0.005,0.027,0.006
AD-DB,0.006,0.004,0.065,0.047,0.005,0.004,0.013,0.006
AD-CH,0.008,0.023,0.011,0.033,0.004,0.003,0.013,0.003
AD-idea,0.007,0.100,0.006,0.041,0.008,0.011,0.041,0.022
