,n=500,n=1000,n=2000,n=5000,n=10000,n=15000,n=20000
cSIL,0.000,0.000,0.000,0.000,0.000,0.000,0.001
GD43,0.001,0.001,0.000,0.000,0.000,0.001,0.002
GD53,0.001,0.001,0.000,0.001,0.001,0.002,0.002
PS,0.001,0.001,0.000,0.001,0.001,0.002,0.001
rCIP,0.001,0.001,0.000,0.001,0.002,0.001,0.002
WB,0.000,0.001,0.000,0.001,0.000,0.000,0.000
XB,0.000,0.001,0.001,0.001,0.000,0.002,0.001
SSE,0.000,0.000,0.001,0.001,0.000,0.000,0.000
RS,0.000,0.000,0.001,0.000,0.000,0.001,0.001
DH,0.001,0.000,0.005,0.023,0.083,0.061,0.428
B,0.000,0.000,0.000,0.000,0.000,0.000,0.000
BH,0.000,0.000,0.001,0.001,0.001,0.000,0.000
D,0.001,0.001,0.001,0.001,0.004,0.004,0.002
H,0.000,0.001,0.000,0.001,0.001,0.001,0.001
DBCV,0.082,0.285,0.313,0.459,0.520,1.872,3.856
I,0.000,0.000,0.000,0.000,0.002,0.003,0.008
C,0.000,0.002,0.017,0.094,0.361,0.410,0.803
CDbw,0.002,0.001,0.001,0.001,0.001,0.027,0.029
VIASCKDE,0.010,0.027,0.021,0.270,1.714,1.365,2.332
COP,0.001,0.000,0.001,0.001,0.002,0.010,0.043
Sym,0.000,0.001,0.001,0.001,0.000,0.021,0.003
CS,0.001,0.000,0.000,0.001,0.004,0.019,0.029
SF,0.000,0.000,0.000,0.000,0.001,0.008,0.004
SD,0.000,0.004,0.009,0.038,0.022,0.301,0.244
SDbw,0.000,0.001,0.000,0.000,0.000,0.001,0.001
XB*,0.001,0.000,0.000,0.000,0.001,0.001,0.001
S,0.000,0.001,0.002,0.004,0.027,0.012,0.013
DB,0.000,0.000,0.000,0.000,0.000,0.001,0.007
CH,0.000,0.000,0.001,0.000,0.000,0.000,0.001
AD-S,0.001,0.002,0.005,0.023,0.024,0.266,0.822
AD-DB,0.001,0.002,0.005,0.022,0.121,0.403,0.411
AD-CH,0.003,0.014,0.003,0.050,0.014,0.148,0.452
AD-idea,0.003,0.007,0.003,0.031,0.190,0.115,0.358
