,n=500,n=1000,n=2000,n=5000,n=10000,n=15000,n=20000
cSIL,0.001,0.002,0.004,0.008,0.017,0.026,0.031
GD43,0.000,0.001,0.001,0.002,0.004,0.007,0.010
GD53,0.001,0.000,0.001,0.002,0.004,0.009,0.010
PS,0.000,0.001,0.001,0.002,0.004,0.007,0.008
rCIP,0.001,0.001,0.001,0.002,0.006,0.007,0.009
WB,0.000,0.001,0.001,0.002,0.004,0.007,0.008
XB,0.000,0.000,0.001,0.002,0.004,0.008,0.008
SSE,0.000,0.000,0.000,0.000,0.001,0.002,0.002
RS,0.000,0.000,0.000,0.001,0.001,0.002,0.003
DH,0.002,0.008,0.037,0.208,1.157,1.911,3.278
B,0.000,0.000,0.001,0.001,0.002,0.003,0.003
BH,0.000,0.000,0.000,0.001,0.001,0.001,0.001
D,0.000,0.001,0.004,0.015,0.059,0.129,0.208
H,0.000,0.000,0.001,0.001,0.002,0.004,0.004
DBCV,4.580,5.864,6.497,8.326,14.104,26.849,50.311
I,0.000,0.000,0.000,0.001,0.002,0.004,0.006
C,0.006,0.031,0.135,0.920,4.145,8.499,16.517
CDbw,0.007,0.008,0.008,0.013,0.023,0.041,0.063
VIASCKDE,0.080,0.268,0.902,5.963,23.994,54.283,99.118
COP,0.005,0.008,0.017,0.040,0.075,0.131,0.246
Sym,0.001,0.002,0.004,0.010,0.018,0.044,0.041
CS,0.000,0.001,0.006,0.030,0.104,0.284,0.441
SF,0.000,0.001,0.001,0.002,0.005,0.011,0.012
SD,0.014,0.052,0.169,1.006,3.804,8.578,14.767
SDbw,0.001,0.002,0.002,0.005,0.010,0.014,0.019
XB*,0.000,0.001,0.001,0.002,0.005,0.007,0.009
S,0.004,0.019,0.049,0.328,1.285,2.222,3.829
DB,0.001,0.002,0.001,0.001,0.002,0.004,0.006
CH,0.000,0.001,0.000,0.001,0.001,0.002,0.002
AD-S,0.016,0.040,0.100,0.868,2.328,4.883,8.876
AD-DB,0.017,0.038,0.101,0.857,2.482,5.409,8.657
AD-CH,0.017,0.045,0.103,0.900,2.572,4.822,8.932
AD-idea,0.028,0.074,0.172,1.073,3.385,6.998,12.331
