,correct,correct,correct,correct,correct,correct,errors,errors,errors,errors,errors,errors
clusterer,AgglomerativeClustering,DBSCAN,HDBSCAN,KMeans,MeanShift,SpectralClustering,AgglomerativeClustering,DBSCAN,HDBSCAN,KMeans,MeanShift,SpectralClustering
cvi,,,,,,,,,,,,
cSIL,8,9,10,20,15,11,1252,699,2207,906,376,1005
GD43,8,10,9,18,11,9,1070,662,2255,852,497,934
GD53,6,9,6,12,3,9,1119,705,2395,1302,583,833
PS,10,11,8,19,11,11,802,676,2306,870,440,651
rCIP,4,9,7,18,5,4,1177,708,2315,960,420,819
WB,10,10,11,16,13,9,981,660,2159,930,422,1042
XB,11,9,8,21,11,8,1030,701,2303,774,350,935
SSE,1,11,17,8,6,1,1161,275,962,1314,552,1278
RS,6,9,10,17,13,10,1135,685,2204,816,399,881
DH,0,1,12,10,5,1,1455,441,797,1224,517,1298
B,1,2,12,11,5,1,1221,491,1065,1164,526,1263
BH,1,0,11,8,6,0,1156,505,822,1320,552,1331
D,4,2,11,20,7,10,1246,495,1206,846,427,910
H,7,9,8,15,8,7,1287,700,2303,1236,435,880
DBCV,9,6,12,15,10,17,702,329,909,1122,373,402
I,10,0,12,18,13,9,1012,455,759,630,319,948
C,6,15,19,24,12,10,1047,193,727,648,417,987
CDbw,2,2,10,15,7,1,978,433,821,978,402,1041
VIASCKDE,8,13,18,21,9,12,1279,344,1066,756,461,683
COP,3,11,24,12,11,2,981,308,639,1092,431,907
Sym,11,13,17,20,12,10,901,228,788,684,431,739
CS,4,5,15,22,7,9,1388,440,780,900,487,1048
SF,7,6,13,18,10,7,1118,452,1254,936,393,597
SD,1,4,14,8,5,1,1185,434,692,1278,508,1250
SDbw,5,6,14,17,8,7,1163,387,691,942,506,1144
XB*,9,7,11,19,7,10,1106,377,1280,954,442,919
S,13,18,21,23,16,11,915,189,729,696,266,806
DB,6,8,15,23,14,10,1274,452,934,732,337,942
CH,11,16,22,20,14,9,941,204,618,588,381,959
ED-S,0,0,0,0,0,0,2992,983,2897,3366,1169,2860
ED-DB,0,0,0,0,0,0,2992,983,2897,3366,1169,2860
ED-CH,0,0,0,0,0,0,2992,983,2897,3366,1169,2860
AD-S,17,23,22,22,11,20,546,181,541,738,354,277
AD-DB,12,13,17,18,11,20,802,354,714,948,300,260
AD-CH,18,18,19,22,11,14,462,201,903,840,360,354
AD-idea,15,4,19,21,16,20,324,260,411,666,349,333
