,correct,correct,correct,correct,errors,errors,errors,errors
clusterer,AgglomerativeClustering,HDBSCAN,KMeans,SpectralClustering,AgglomerativeClustering,HDBSCAN,KMeans,SpectralClustering
cvi,,,,,,,,
cSIL,0,0,0,0,214,161,162,47
GD43,0,0,2,0,158,161,18,94
GD53,0,0,1,0,72,161,126,126
PS,1,0,1,0,5,161,90,94
WB,0,0,1,0,11,161,144,71
XB,0,0,1,0,87,161,108,91
SSE,2,0,2,0,1,70,72,36
RS,0,0,1,0,187,161,108,60
DH,0,2,2,0,154,56,72,65
B,1,0,2,0,75,119,72,27
BH,2,1,2,0,1,63,72,43
D,0,0,2,0,195,98,72,49
H,0,0,1,0,213,140,126,52
DBCV,3,1,2,2,0,28,72,19
I,0,0,0,0,44,126,162,78
C,0,1,0,0,93,35,90,87
VIASCKDE,0,0,0,0,240,161,270,210
COP,3,2,0,1,0,7,144,40
Sym,0,0,0,0,11,77,162,77
CS,0,2,2,0,197,56,72,35
SF,0,0,0,0,240,140,270,210
SD,0,2,1,0,196,56,72,83
SDbw,0,0,0,0,240,161,270,210
XB*,0,0,2,0,194,77,18,97
S,2,2,0,0,1,7,144,26
DB,0,1,1,0,173,63,90,50
CH,0,1,1,0,11,28,144,68
ED-S,0,0,0,0,240,161,270,210
ED-DB,0,0,0,0,240,161,270,210
ED-CH,0,0,0,0,240,161,270,210
AD-S,2,3,1,2,1,0,90,6
AD-DB,0,3,1,1,165,0,90,57
AD-CH,0,0,1,0,43,84,144,62
AD-idea,2,2,1,0,1,7,54,27
