,correct,correct,correct,errors,errors,errors
dataset,coil20,olivetti,yaleA,coil20,olivetti,yaleA
cvi,,,,,,
cSIL,0,0,0,217,201,166
GD43,0,1,1,134,143,154
GD53,0,1,0,204,92,189
PS,0,2,0,96,71,183
WB,0,1,0,164,71,152
XB,0,0,1,147,170,130
SSE,2,0,2,18,110,51
RS,0,1,0,222,125,169
DH,1,1,2,116,149,82
B,2,0,1,68,135,90
BH,2,0,3,67,91,21
D,0,1,1,197,94,123
H,0,1,0,210,128,193
DBCV,3,3,2,19,14,86
I,0,0,0,152,102,156
C,1,0,0,117,86,102
VIASCKDE,0,0,0,303,282,296
COP,1,3,2,95,72,24
Sym,0,0,0,135,84,108
CS,1,1,2,136,146,78
SF,0,0,0,303,282,275
SD,0,1,2,199,155,53
SDbw,0,0,0,303,282,296
XB*,0,1,1,141,125,120
S,2,1,1,44,64,70
DB,0,1,1,163,133,80
CH,1,1,0,101,41,109
ED-S,0,0,0,303,282,296
ED-DB,0,0,0,303,282,296
ED-CH,0,0,0,303,282,296
AD-S,3,2,3,18,73,6
AD-DB,2,1,2,43,189,80
AD-CH,0,1,0,92,86,155
AD-idea,1,2,2,44,23,22
