,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors
dataset,a1,a2,a3,aggregation,compound,d31,data1,data2,data3,data4,data5,data6,data7,dense,flame,fuzzyx,jain,line,lsun,mk1,mk2,parabolic,pathbased,r15,ring,ring_noisy,ring_outliers,s1,s2,s3,s4,smile,spiral,target,trajectories,twodiamonds,unbalance,wingnut,x1,x2,x3,zigzag,zigzag_noisy,zigzag_outliers,a1,a2,a3,aggregation,compound,d31,data1,data2,data3,data4,data5,data6,data7,dense,flame,fuzzyx,jain,line,lsun,mk1,mk2,parabolic,pathbased,r15,ring,ring_noisy,ring_outliers,s1,s2,s3,s4,smile,spiral,target,trajectories,twodiamonds,unbalance,wingnut,x1,x2,x3,zigzag,zigzag_noisy,zigzag_outliers
DH,1,1,0,1,1,1,1,0,1,0,1,1,1,0,1,0,0,2,2,0,1,0,0,0,2,0,1,0,1,1,1,0,1,1,0,0,1,0,2,0,0,1,0,1,103,63,55,105,150,82,100,141,108,193,94,143,143,139,161,183,137,109,101,152,130,186,100,195,109,184,128,111,105,137,177,174,157,189,136,141,106,144,46,104,122,114,136,139
B,1,2,0,0,0,1,2,0,2,0,0,1,1,0,1,0,0,2,1,0,1,0,0,1,2,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,112,62,45,140,191,96,58,110,63,243,166,127,148,175,151,144,134,106,117,148,126,176,128,121,109,181,194,98,121,64,132,114,163,196,109,163,148,136,48,77,109,141,138,202
BH,1,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,2,1,0,1,0,0,0,2,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,73,43,35,117,192,63,110,104,121,162,170,147,146,172,145,147,152,109,135,151,128,192,106,101,109,103,216,101,79,77,118,184,142,211,131,149,111,139,149,74,113,160,128,171
D,0,0,1,2,1,0,6,0,6,1,0,2,2,3,0,0,1,2,0,1,0,1,1,1,2,1,0,3,0,1,1,1,1,1,2,0,1,1,5,0,1,0,0,2,125,159,178,79,129,149,0,197,0,228,151,97,58,42,181,95,100,91,107,85,160,106,133,103,78,103,177,26,158,98,170,56,148,166,56,87,132,95,8,145,161,137,209,167
H,0,0,0,0,1,0,6,0,6,1,3,3,2,2,0,0,1,2,0,3,0,1,0,2,1,0,0,2,0,0,1,1,1,0,6,2,2,0,3,0,1,1,0,0,174,201,242,122,216,185,0,167,0,200,110,37,120,95,195,185,137,110,201,105,204,96,205,126,126,246,258,99,213,163,173,172,232,241,0,79,136,164,29,171,191,174,295,246
DBCV,2,1,0,1,1,1,4,1,5,1,0,2,3,1,3,0,0,4,1,0,0,0,0,2,5,2,2,0,1,1,1,0,2,2,4,3,3,0,3,0,0,3,2,2,56,37,88,92,94,74,3,96,1,88,158,42,54,122,79,164,144,31,40,118,98,141,104,85,17,65,95,62,79,127,197,115,46,76,6,43,81,138,50,168,226,43,130,64
I,0,2,1,1,0,2,5,3,5,0,3,2,1,2,1,0,0,2,0,2,0,1,1,2,2,0,0,3,2,2,0,0,0,1,2,2,1,0,5,3,1,1,0,1,30,56,87,64,215,30,4,33,4,198,45,67,129,58,129,154,154,106,146,69,163,58,131,47,104,187,153,25,27,27,76,109,222,179,26,62,58,149,9,27,59,126,147,174
C,2,3,5,4,3,2,6,5,6,1,3,1,1,1,0,0,1,2,2,4,1,0,1,1,2,1,1,4,3,1,0,3,2,1,0,2,1,1,6,0,0,1,1,1,35,16,13,44,98,28,0,2,0,163,24,113,137,119,147,171,125,106,72,16,89,118,120,106,99,86,199,10,11,94,159,76,119,197,82,56,43,94,0,168,135,177,131,221
CDbw,0,0,0,0,0,1,1,1,0,0,1,1,2,0,1,0,0,3,1,0,1,0,0,0,2,2,2,1,0,1,1,1,2,1,1,1,1,0,1,2,0,2,1,2,79,113,99,141,141,107,77,95,126,147,63,97,50,116,112,152,156,35,90,156,128,145,109,140,56,52,132,109,83,150,145,103,116,167,66,55,163,139,59,51,100,45,82,106
VIASCKDE,1,0,0,0,1,0,1,0,0,1,6,4,5,1,2,1,2,5,0,2,0,0,3,1,5,3,4,2,1,0,1,1,0,1,1,4,0,3,6,1,3,4,3,2,184,246,287,120,114,252,75,154,98,121,0,18,3,76,128,123,82,3,178,57,155,117,97,163,4,83,31,106,168,105,130,194,129,118,100,14,221,79,0,92,71,6,32,55
