K,Silhouette_Score,Is_Estimated_K,Is_True_K
2,0.6154853461594691,False,False
3,0.7992801073745723,False,False
4,0.8756469540734731,True,True
5,0.7552173381897672,False,False
6,0.6102030500466327,False,False
7,0.4540171679080722,False,False
8,0.3410690906337504,False,False
9,0.33788436629957336,False,False
10,0.3591860547574684,False,False
