,K-Means,DBSCAN,HDBSCAN,MeanShift,AgglomerativeClustering,SpectralClustering,ED-K-Means,AD-K-Means
ARI,0.577,0.000,0.888,0.197,0.324,0.724,1.000,0.899
AMI,0.526,0.000,0.711,0.421,0.388,0.659,1.000,0.832
time (s),0.051,0.004,0.006,0.127,0.002,0.091,3.839,0.046
