,ARI,AMI,time (s)
K-Means,0.461,0.543,0.019
DBSCAN,0.000,0.000,0.003
HDBSCAN,0.567,0.597,0.007
MeanShift,0.482,0.517,0.086
AgglomerativeClustering,0.485,0.563,0.001
SpectralClustering,0.518,0.587,0.027
ED-K-Means,0.449,0.524,2.055
AD-K-Means,0.580,0.663,0.052
