,K-Means,DBSCAN,HDBSCAN,MeanShift,AgglomerativeClustering,SpectralClustering,ED-K-Means,AD-K-Means
ARI,0.730,0.000,0.809,0.604,0.815,0.474,0.652,0.827
AMI,0.834,0.000,0.888,0.825,0.907,0.726,0.818,0.873
time (s),0.047,0.008,0.010,0.178,0.019,0.126,96.392,0.923
