,ARI,AMI,time (s)
K-Means,0.583,0.725,0.346
DBSCAN,0.000,0.000,0.003
HDBSCAN,0.811,0.855,0.006
MeanShift,0.512,0.677,0.147
AgglomerativeClustering,0.511,0.691,0.007
SpectralClustering,0.487,0.719,0.062
ED-K-Means,0.567,0.746,23.450
AD-K-Means,0.831,0.850,0.397
