,K-Means,DBSCAN,HDBSCAN,MeanShift,AgglomerativeClustering,SpectralClustering,ED-K-Means,AD-K-Means
ARI,1.000,1.000,1.000,0.883,1.000,1.000,1.000,1.000
AMI,1.000,1.000,1.000,0.872,1.000,1.000,1.000,1.000
time (s),0.410,0.013,0.019,0.669,0.018,0.210,26.308,0.731
