,K-Means,DBSCAN,HDBSCAN,MeanShift,AgglomerativeClustering,SpectralClustering,ED-K-Means,AD-K-Means
ARI,1.000,0.782,0.986,0.977,1.000,1.000,1.000,0.980
AMI,1.000,0.905,0.982,0.977,1.000,1.000,1.000,0.976
time (s),0.071,0.014,0.018,0.297,0.014,0.539,113.449,0.988
