,K-Means,DBSCAN,HDBSCAN,MeanShift,AgglomerativeClustering,SpectralClustering,ED-K-Means,AD-K-Means
ARI,0.461,0.000,0.567,0.482,0.485,0.518,0.449,0.580
AMI,0.543,0.000,0.597,0.517,0.563,0.587,0.524,0.663
time (s),0.019,0.003,0.007,0.086,0.001,0.027,2.055,0.052
