,K-Means,DBSCAN,HDBSCAN,MeanShift,AgglomerativeClustering,SpectralClustering,ED-K-Means,AD-K-Means
ARI,0.512,1.000,1.000,0.175,0.196,1.000,1.000,1.000
AMI,0.410,1.000,1.000,0.432,0.147,1.000,1.000,1.000
time (s),0.052,0.012,0.022,0.224,0.014,0.601,33.679,0.313
