,K-Means,DBSCAN,HDBSCAN,MeanShift,AgglomerativeClustering,SpectralClustering,ED-K-Means,AD-K-Means
ARI,-0.006,0.000,0.976,0.119,0.002,0.255,0.353,1.000
AMI,-0.006,0.000,0.956,0.265,0.002,0.438,0.404,1.000
time (s),0.245,0.003,0.008,0.098,0.001,0.027,5.959,0.066
