,K-Means,DBSCAN,HDBSCAN,MeanShift,AgglomerativeClustering,SpectralClustering,ED-K-Means,AD-K-Means
ARI,0.583,0.000,0.811,0.512,0.511,0.487,0.567,0.831
AMI,0.725,0.000,0.855,0.677,0.691,0.719,0.746,0.850
time (s),0.346,0.003,0.006,0.147,0.007,0.062,23.450,0.397
