,K-Means,DBSCAN,HDBSCAN,MeanShift,AgglomerativeClustering,SpectralClustering,ED-K-Means,AD-K-Means
ARI,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
AMI,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
time (s),0.060,0.014,0.022,0.265,0.020,0.251,23.772,0.692
