,Correct evaluations (out of 32),Errors (out of 160)
cSIL (↑),17,53
GD43 (↑),17,54
GD53 (↑),0,136
PS (↑),18,54
rCIP (↓),7,93
WB (↓),19,45
XB (↓),16,57
SSE (↓),19,42
RS (↑),16,56
DH (↓),21,30
B (↓),19,41
BH (↓),24,18
D (↑),7,91
H (↓),6,92
DBCV (↑),29,3
I (↑),14,56
C (↓),18,46
CDbw (↑),30,2
VIASCKDE (↑),15,49
COP (↓),20,47
Sym (↑),20,33
CS (↓),16,47
SF (↑),6,90
SD (↓),22,31
SDbw (↓),21,28
XB* (↓),13,66
S (↑),16,50
DB (↓),17,56
CH (↑),17,51
ED-S (↑),23,20
ED-DB (↓),15,40
ED-CH (↑),13,64
MST-S (↑),26,13
MST-DB (↓),22,25
MST-CH (↑),15,64
idea (↑),31,3
