,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.573,0.560,0.744*,0.681*,0.687*,0.002,0.002s
GD43 (↑),1.517,1.470,2.372*,1.880*,2.044*,0.047,0.001s
GD53 (↑),0.489,0.495*,0.471,0.468,0.480,0.497*,0.000s
PS (↑),1.955,1.571,1.548,1.455,1.839,1.905,0.002s
rCIP (↓),0.589,0.229*,0.212*,0.232*,0.234*,0.883,0.001s
WB (↓),5.946,6.697,3.016*,4.376*,3.673*,4819.940,0.000s
XB (↓),0.743,0.787,0.351*,0.483*,0.457*,601.949,0.001s
SSE (↓),283.708,291.943,227.949*,260.198*,245.461*,378.974,0.000s
RS (↑),-0.497,-0.535,-0.176*,-0.324*,-0.291*,-1.000,0.000s
DH (↓),0.765,0.732*,0.606*,0.655*,0.655*,0.999,0.033s
B (↓),1.488,1.488,0.657*,0.867*,0.911*,1203.999,0.000s
BH (↓),141.854,145.971,113.975*,130.099*,122.730*,189.487,0.001s
D (↑),0.013,0.109*,0.145*,0.148*,0.135*,0.005,0.002s
H (↓),0.853,0.879,0.510*,0.634*,0.626*,1.997,0.000s
DBCV (↑),-0.994,-0.996,-0.989*,-0.996,-0.988*,-0.998,14.128s
I (↑),0.063,0.062,0.134*,0.100*,0.105*,0.000,0.000s
C (↓),0.341,0.322*,0.222*,0.276*,0.252*,0.500,0.139s
CDbw (↑),0.020,0.012,0.016,0.011,0.014,0.009,0.347s
VIASCKDE (↑),0.201,0.676*,0.705*,0.689*,0.684*,0.012,0.134s
COP (↓),0.265,0.250*,0.233*,0.255*,0.239*,0.293,0.014s
Sym (↑),0.009,0.008,0.010*,0.009,0.009,0.000,0.003s
CS (↓),2.784,3.132,1.952*,2.383*,2.436*,81.652,0.007s
SF (↑),0.409,0.412*,0.438*,0.427*,0.430*,0.371,0.001s
SD (↓),1386252.546,1422222.206,1089288.959*,1346489.363*,1309151.074*,1857976.590,0.163s
SDbw (↓),2.450,2.178*,1.845*,1.979*,2.256*,2.916,0.002s
XB* (↓),0.760,0.796,0.373*,0.517*,0.476*,605.544,0.001s
S (↑),0.199,0.254*,0.359*,0.305*,0.322*,-0.000,0.057s
DB (↓),1.535,1.534*,1.039*,1.191*,1.187*,43.748,0.001s
CH (↑),682.445,605.960,1345.688*,927.434*,1104.931*,0.842,0.000s
ED-S (↑),-0.036,-0.029*,-0.017*,-0.023*,-0.032*,-0.072,6.576s
ED-DB (↓),2.216,2.515,2.272,2.382,2.562,3.333,2.402s
ED-CH (↑),1702.625,1365.176,1811.355*,1704.103*,1416.927,621.684,2.437s
AD-S (↑),0.011,0.028*,0.016*,0.019*,0.028*,-0.000,0.207s
AD-DB (↓),2.644,2.575*,2.684,2.707,2.620*,3.300,0.196s
AD-CH (↑),1490.119,1463.568,1475.675,1475.161,1500.513*,951.906,0.303s
AD-idea (↑),0.144,0.255*,0.259*,0.185*,0.247*,0.051,0.355s
