,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.628,0.540,0.758*,0.689*,0.699*,0.001,0.003s
GD43 (↑),1.729,1.378,2.454*,1.892*,2.092*,0.027,0.001s
GD53 (↑),0.489,0.494*,0.468,0.466,0.479,0.500*,0.001s
PS (↑),1.952,1.572,1.576,1.460,1.819,1.895,0.001s
rCIP (↓),0.515,0.226*,0.201*,0.227*,0.223*,0.871,0.001s
WB (↓),4.729,7.268,2.766*,4.202*,3.468*,13929.240,0.001s
XB (↓),0.591,0.855,0.326*,0.466*,0.431*,1738.965,0.001s
SSE (↓),274.012,305.755,226.272*,264.158*,247.290*,389.832,0.000s
RS (↑),-0.406,-0.563,-0.135*,-0.305*,-0.264*,-1.000,0.000s
DH (↓),0.725,0.744,0.594*,0.649*,0.644*,1.000,0.033s
B (↓),1.183,1.616,0.617*,0.838*,0.857*,3476.985,0.000s
BH (↓),137.006,152.877,113.136*,132.079*,123.645*,194.916,0.000s
D (↑),0.003,0.106*,0.151*,0.146*,0.139*,0.001,0.004s
H (↓),0.743,0.920,0.483*,0.618*,0.600*,1.999,0.000s
DBCV (↑),-0.994,-0.994,-0.990*,-0.988*,-0.979*,-0.997,13.500s
I (↑),0.082,0.059,0.148*,0.107*,0.115*,0.000,0.000s
C (↓),0.310,0.332,0.210*,0.272*,0.244*,0.500,0.129s
CDbw (↑),0.020,0.013,0.016,0.012,0.006,0.007,0.346s
VIASCKDE (↑),0.267,0.682*,0.708*,0.701*,0.691*,-0.034,0.133s
COP (↓),0.261,0.252*,0.232*,0.256*,0.239*,0.293,0.015s
Sym (↑),0.011,0.008,0.011,0.009,0.009,0.000,0.003s
CS (↓),2.482,3.229,1.865*,2.321*,2.347*,136.015,0.007s
SF (↑),0.414,0.406,0.440*,0.427*,0.429*,0.367,0.001s
SD (↓),1044068.090,1161362.325,843307.323*,1063679.372,1025250.083*,1503002.629,0.161s
SDbw (↓),2.330,2.208*,1.824*,1.950*,2.205*,2.926,0.002s
XB* (↓),0.605,0.864,0.348*,0.500*,0.450*,1739.395,0.001s
S (↑),0.236,0.243*,0.371*,0.309*,0.330*,-0.000,0.055s
DB (↓),1.369,1.601,1.003*,1.169*,1.153*,74.498,0.001s
CH (↑),857.611,558.034,1466.427*,965.261*,1169.433*,0.291,0.001s
ED-S (↑),-0.036,-0.050,-0.014*,-0.015*,-0.050,-0.068,6.573s
ED-DB (↓),2.453,2.795,2.049*,2.052*,2.861,30.833,2.334s
ED-CH (↑),1589.886,1332.364,1483.268,1715.142*,1487.118,63.428,2.232s
AD-S (↑),0.010,0.015*,0.024*,0.013*,0.020*,0.001,0.199s
AD-DB (↓),2.670,2.704,2.712,2.735,2.651*,19.372,0.228s
AD-CH (↑),1497.242,1453.846,1422.664,1488.928,1440.137,100.959,0.348s
AD-idea (↑),0.159,0.248*,0.253*,0.187*,0.244*,0.009,0.353s
